vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,1.0,True
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.7666666666666667,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.7586206896551724,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.7333333333333333,False
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.7333333333333333,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,0.7037037037037037,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.7,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.6896551724137931,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.6551724137931034,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.625,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"7-methoxy-2,5-dimethyl-1,2,3,4-tetrahydropyrimido[3,4-a]-indole",IYRHEXXMQLCBLI-UHFFFAOYSA-N,0.603448275862069,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.6,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.6,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,cantharidin,DHZBEENLJMYSHQ-XCVPVQRUSA-N,0.59375,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.5833333333333334,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.5789473684210527,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,hexestrol,PBBGSZCBWVPOOL-HDICACEKSA-N,0.5714285714285714,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.5454545454545454,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.5454545454545454,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,clotrimazole,VNFPBHJOKIVQEB-UHFFFAOYSA-N,0.5434782608695652,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.5416666666666666,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,0.5384615384615384,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,hexestrol,PBBGSZCBWVPOOL-HDICACEKSA-N,0.5238095238095238,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,0.5185185185185185,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.5142857142857142,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.5,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.5,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.5,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,"7-methoxy-2,5-dimethyl-1,2,3,4-tetrahydropyrimido[3,4-a]-indole",IYRHEXXMQLCBLI-UHFFFAOYSA-N,0.48214285714285715,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,"cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(ii)",DRMCATBEKSVAPL-BNTLRKBRSA-N,0.4722222222222222,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",LOIACBOKCRBDOQ-UHFFFAOYSA-N,0.4411764705882353,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,sorbitol,FBPFZTCFMRRESA-JGWLITMVSA-N,0.42857142857142855,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,psoralen,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,0.4166666666666667,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,thimerosal,RTKIYNMVFMVABJ-UHFFFAOYSA-L,0.41379310344827586,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.4,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.375,False
