vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9999999999999998,True
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999993,True
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9897434844402069,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9868454655308322,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.9859339953458157,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9827058665484932,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,fenbufen,ZPAKPRAICRBAOD-UHFFFAOYSA-N,0.9818215389534578,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.981623212512851,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9788005129134258,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9774683917762221,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,0.9771451454798783,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9752426897796662,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.9741562646034877,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9730021730928319,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,0.968633452602601,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9665989837187567,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9660714505815228,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9655719381393456,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,lipoxamycin,ILLOYMPJYAVZKU-SFHVURJKSA-N,0.9645404762775523,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,0.9532835930654506,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,quinacrine dihydrochloride,UDKVBVICMUEIKS-UHFFFAOYSA-N,0.9395296300401421,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,0.9378663361267838,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,fluconazole,RFHAOTPXVQNOHP-UHFFFAOYSA-N,0.9370890437475482,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9357414661267395,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,lipoxamycin,ILLOYMPJYAVZKU-SFHVURJKSA-N,0.9271407510310642,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine",ZVPDNRVYHLRXLX-UHFFFAOYSA-N,0.9253544139705832,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.9176789240203758,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,thiabendazole,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0.91101620133683,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,"5,6-dihydroxy-2-phenyl-4h-1-benzopyran-4-one",AGZAGADSYIYYCT-UHFFFAOYSA-N,0.9104857010813219,False
