vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,1.0000000000000002,True
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999996,True
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,quinacrine dihydrochloride,UDKVBVICMUEIKS-UHFFFAOYSA-N,0.9743117233336895,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9728973660994068,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9716858875229183,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,xanthohumol,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,0.9696865351991355,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,itraconazole,VHVPQPYKVGDNFY-ZPGVKDDISA-N,0.9694394851740016,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzyl benzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,0.9549536435348778,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,naringenin,FTVWIRXFELQLPI-ZDUSSCGKSA-N,0.9520640964462027,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,0.9502908776741256,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9495728846435734,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,amitriptyline hydrochloride,KFYRPLNVJVHZGT-UHFFFAOYSA-N,0.9466742757441708,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.9449844170416247,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9417213951534147,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9397797929071029,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.9353779766450575,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,phloretin,VGEREEWJJVICBM-UHFFFAOYSA-N,0.9332230989041421,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,0.9322459347823359,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,lipoxamycin,ILLOYMPJYAVZKU-SFHVURJKSA-N,0.9319143319023998,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,aminopyrine,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,0.9280774234937549,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.9262543133448241,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,podophyllotoxin,YJGVMLPVUAXIQN-XVVDYKMHSA-N,0.925970764079173,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.9247309856409398,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,aminopyrine,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,0.9219538146786997,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.9129097819170571,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9062334747911294,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,naringenin,FTVWIRXFELQLPI-ZDUSSCGKSA-N,0.88850090964483,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,aminopyrine,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,0.8803187525813836,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,tryptanthrin,VQQVWGVXDIPORV-UHFFFAOYSA-N,0.8787778232580767,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,nerol,GLZPCOQZEFWAFX-YFHOEESVSA-N,0.8736816575558692,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,distamycin a,UPBAOYRENQEPJO-UHFFFAOYSA-N,0.8700101219650818,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,distamycin a,UPBAOYRENQEPJO-UHFFFAOYSA-N,0.8615812794269369,False
