vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999996,True
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.9999999999999996,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9759919007921384,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,xanthohumol,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,0.9696865351991355,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"7-methoxy-2,5-dimethyl-1,2,3,4-tetrahydropyrimido[3,4-a]-indole",IYRHEXXMQLCBLI-UHFFFAOYSA-N,0.9594299197422363,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9590450281959941,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"(9r)-9-phenyl-5,6,7,9-tetrahydro-4h-[1,2,4]triazolo[5,1-b]quinazolin-8-one",WRFREMMSFNZKJM-CQSZACIVSA-N,0.9513451853615422,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9507079935516819,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9495728846435734,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,xanthohumol,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,0.9451402889301593,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9417213951534146,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9324741703594036,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,rotenone,JUVIOZPCNVVQFO-HBGVWJBISA-N,0.9289449414977545,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,xanthohumol,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,0.9288948433414903,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.9263084518278513,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.9262543133448241,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,rotenone,JUVIOZPCNVVQFO-HBGVWJBISA-N,0.925094819064185,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.9247309856409398,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.9141338037846856,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,rotenone,JUVIOZPCNVVQFO-HBGVWJBISA-N,0.9126345971875461,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,melphalan,SGDBTWWWUNNDEQ-LBPRGKRZSA-N,0.9096013809234793,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9062334747911294,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,basifungin,RLMLFADXHJLPSQ-QKCBWMAHSA-N,0.9040759043394384,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.9017989350063739,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.8978075101783235,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8901803200318116,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,tryptanthrin,VQQVWGVXDIPORV-UHFFFAOYSA-N,0.8787778232580767,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8759393163653143,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,"benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",QSFREBZMBNRGOK-UHFFFAOYSA-N,0.8704205069654851,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,CID 622648,CCSWWZJSHKPCGY-UHFFFAOYSA-N,0.8668934961543089,False
