vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9999999999999998,True
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9589342954547552,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9305727262209768,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.9237707232135146,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.8847643784912546,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8814685029613256,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,0.8795215245243067,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,bostrycoidin,FGNZMGUTILLWJB-UHFFFAOYSA-N,0.8687391028048661,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.8676482670995301,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.8665731228135042,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,"2-hydroxy-1,4-naphthoquinone",WVCHIGAIXREVNS-UHFFFAOYSA-N,0.8643872497518217,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8545611185253016,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N,0.8524695362488977,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,bostrycoidin,FGNZMGUTILLWJB-UHFFFAOYSA-N,0.8516979386060606,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,bostrycoidin,FGNZMGUTILLWJB-UHFFFAOYSA-N,0.8487111589888948,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.846484741473301,False
