vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0000000000000004,True
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9999999999999996,True
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9121583591715012,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8952812415249158,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8937855385604809,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8897173667024348,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.8714844033437398,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.841463930000388,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,nerol,GLZPCOQZEFWAFX-YFHOEESVSA-N,0.8401258695008719,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8389303085624145,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,"1,10-phenanthroline hydrochloride",QPXDKQBBJCTNOY-UHFFFAOYSA-N,0.8280102524190183,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,hinokitiol,FUWUEFKEXZQKKA-UHFFFAOYSA-N,0.8036676318542424,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,nerol,GLZPCOQZEFWAFX-YFHOEESVSA-N,0.7787377633807967,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.7731071418512006,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7709182034299822,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,sodium chloride,FAPWRFPIFSIZLT-UHFFFAOYSA-M,0.7471703379787341,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,hinokitiol,FUWUEFKEXZQKKA-UHFFFAOYSA-N,0.7457357707218797,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.7372614932889975,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7321671142927471,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,5-fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,0.7301648670710056,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,flucytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,0.724899985551352,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,hydroxyurea,VSNHCAURESNICA-UHFFFAOYSA-N,0.7247396147028822,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"1,7-octadiene",XWJBRBSPAODJER-UHFFFAOYSA-N,0.7227272583197459,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.7102763234942455,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,sodium chloride,FAPWRFPIFSIZLT-UHFFFAOYSA-M,0.7093489549097737,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,copper sulfate,ARUVKPQLZAKDPS-UHFFFAOYSA-L,0.6997708770693634,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,perillic acid,CDSMSBUVCWHORP-UHFFFAOYSA-N,0.69655911620989,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,5-fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,0.6948573344092477,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.6841521814918285,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.678819552083264,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.6715013550631421,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,exalamide,CKSJXOVLXUMMFF-UHFFFAOYSA-N,0.6647712258525446,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,exalamide,CKSJXOVLXUMMFF-UHFFFAOYSA-N,0.6529328806971665,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,perillic acid,CDSMSBUVCWHORP-UHFFFAOYSA-N,0.6513183961063936,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,juglone,KQPYUDDGWXQXHS-UHFFFAOYSA-N,0.6504124352930761,False
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,diallyl sulfide,UBJVUCKUDDKUJF-UHFFFAOYSA-N,0.6168344114289399,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,myriocin,ZZIKIHCNFWXKDY-GNTQXERDSA-N,0.5957261461144584,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,promazine hydrochloride,JIVSXRLRGOICGA-UHFFFAOYSA-N,0.5504453509352983,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,lithium chloride,KWGKDLIKAYFUFQ-UHFFFAOYSA-M,0.5324882895669646,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,lithium chloride,KWGKDLIKAYFUFQ-UHFFFAOYSA-M,0.4926890369133613,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.4580646892080381,False
