vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,1.0000000000000004,True
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.9999999999999997,True
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9121583591715012,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.8931760607341139,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8669421851657368,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8633772507910422,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8389303085624145,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8259487861313785,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.8084679489710226,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0.7957739546263831,False
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.7919944830850664,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7709182034299827,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.7648426913738837,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,sodium chloride,FAPWRFPIFSIZLT-UHFFFAOYSA-M,0.7471703379787341,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7321671142927471,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,5-fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,0.7301648670710056,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,5-fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N,0.7228648617331884,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"1,7-octadiene",XWJBRBSPAODJER-UHFFFAOYSA-N,0.7227272583197459,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,paraquat,INFDPOAKFNIJBF-UHFFFAOYSA-N,0.718864285547072,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.7167167533488689,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.7102763234942455,False
