vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,1.0000000000000002,True
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999998,True
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9474051069011582,False
4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9331472179868121,False
sodium glyoxylate,SOEVVANXSDKPIY-UHFFFAOYSA-M,potassium metabisulfite,RWPGFSMJFRPDDP-UHFFFAOYSA-L,0.931431781162489,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,"3,6-diamino-10-methylacridinium chloride",KKAJSJJFBSOMGS-UHFFFAOYSA-N,0.926487358322952,False
sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9259863441272476,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.9232019971048487,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.9171822654303468,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.9136766923448267,False
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzyl benzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,0.9120022911019068,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.9070976607942159,False
sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,sodium fluoride,PUZPDOWCWNUUKD-UHFFFAOYSA-M,0.90162381213928,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8781494593838881,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8751859428311616,False
ferulamide,YYAJJKZSQWOLIP-HWKANZROSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8681567812343749,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8620414129329345,False
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8612637973455196,False
1-ethyl-3-methylimidazolium chloride,BMQZYMYBQZGEEY-UHFFFAOYSA-M,zinc chloride,JIAARYAFYJHUJI-UHFFFAOYSA-L,0.857160546040953,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,zinc chloride,JIAARYAFYJHUJI-UHFFFAOYSA-L,0.8535034614888025,False
syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8517440781302318,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8508293609559032,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,azobenzene,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,0.8499009445486515,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8481627075306736,False
sodium butyrate,MFBOGIVSZKQAPD-UHFFFAOYSA-M,sodium arsenite,PTLRDCMBXHILCL-UHFFFAOYSA-M,0.8431925350324847,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8416283782341375,False
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.8396416542280198,False
"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,"2,4-dimethylphenylacetonitrile",OOWISQLTVOZJJI-UHFFFAOYSA-N,0.8355956343080536,False
levulinic acid,JOOXCMJARBKPKM-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.8346622137225232,False
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",DSMLJOHWFORNLY-ZZXKWVIFSA-N,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,0.8218054312942797,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,clotrimazole,VNFPBHJOKIVQEB-UHFFFAOYSA-N,0.8168648599216717,False
methylglyoxal,AIJULSRZWUXGPQ-UHFFFAOYSA-N,"(1r,6s)-3-hydroxy-4-methyl-7-oxabicyclo(4.1.0)hept-3-ene-2,5-dione",ATFNSNUJZOYXFC-RQJHMYQMSA-N,0.8104474125344924,False
"2,4-dimethylimidazole",LLPKQRMDOFYSGZ-UHFFFAOYSA-N,4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.8016857615678571,False
2-methylimidazole,LXBGSDVWAMZHDD-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7847453669505016,False
crystal violet,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,0.7823427675797605,False
4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7811448580421527,False
acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,sulfanilamide,FDDDEECHVMSUSB-UHFFFAOYSA-N,0.7636620083565153,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,chlorambucil,JCKYGMPEJWAADB-UHFFFAOYSA-N,0.7548721103778286,False
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,sulfanilamide,FDDDEECHVMSUSB-UHFFFAOYSA-N,0.7539807314683461,False
ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,dipropyl disulfide,ALVPFGSHPUPROW-UHFFFAOYSA-N,0.7521088730114421,False
isobutanol,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.7441620237269848,False
