vanacloig,vanacloig_inchikey,neighbor,neighbor_inchikey,similarity,exact
benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,RIOXQFHNBCKOKP-UHFFFAOYSA-N,0.9999999999999993,True
methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,MBABOKRGFJTBAE-UHFFFAOYSA-N,0.999999999999999,True
acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,parthenolide,KTEXNACQROZXEV-SLXBATTESA-N,0.9271572364943563,False
azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9270671281420221,False
acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,parthenolide,KTEXNACQROZXEV-SLXBATTESA-N,0.920338402453932,False
syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,isopsoralen,XDROKJSWHURZGO-UHFFFAOYSA-N,0.9191851163726265,False
myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,miconazole,BYBLEWFAAKGYCD-UHFFFAOYSA-N,0.9118657867476201,False
5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,disodium cantharidin,JFALSOLNDKMHAL-CSYCBQNYSA-L,0.9082339682560717,False
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,isopsoralen,XDROKJSWHURZGO-UHFFFAOYSA-N,0.9078027645346178,False
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.9076455086669789,False
furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,0.9059042263224987,False
vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",LOIACBOKCRBDOQ-UHFFFAOYSA-N,0.9050488869422875,False
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.90434274410957,False
1-butyl-3-methylimidazolium chloride,FHDQNOXQSTVAIC-UHFFFAOYSA-M,1-methyl-4-phenylpyridinium,FMGYKKMPNATWHP-UHFFFAOYSA-N,0.903164614718293,False
4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,"7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid, 1,4-dimethyl-, (exo,exo)-",LOIACBOKCRBDOQ-UHFFFAOYSA-N,0.9023283539952438,False
"2,2'-bipyridine",ROFVEXUMMXZLPA-UHFFFAOYSA-N,clotrimazole,VNFPBHJOKIVQEB-UHFFFAOYSA-N,0.8984231802228477,False
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,levodopa,WTDRDQBEARUVNC-LURJTMIESA-N,0.8978116083369977,False
nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,staurosporine,HKSZLNNOFSGOKW-FYTWVXJKSA-N,0.8978039053264519,False
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,parthenolide,KTEXNACQROZXEV-SLXBATTESA-N,0.8976762229103888,False
