dataset,raw_label,condition,n_replicates,replicate_rho,hit_jaccard,n_pairs
vanacloig2022,22Dipyridyl,"2,2'-bipyridine",3,0.2958922906608162,0.38407719063256135,3
vanacloig2022,24Dimethylimidazole,"2,4-dimethylimidazole",3,0.19384261077052112,0.2505885266525999,3
vanacloig2022,26Dimethylpyrazine,"2,6-dimethylpyrazine",3,0.5757523687128369,0.25822857156754736,3
vanacloig2022,2Methylimidazole,2-methylimidazole,3,0.018866055398985265,0.12894664509213716,3
vanacloig2022,45Methylimidazole,4-methylimidazole,3,0.0784325738519575,0.06196916204654271,3
vanacloig2022,4OHAcetophenone,4'-hydroxyacetophenone,3,0.39482054902983,0.27591456417696275,3
vanacloig2022,4OHBenzaldehyde,4-hydroxybenzaldehyde,3,0.3022362290589633,0.25472269568448186,3
vanacloig2022,4OHBenzoicAcid,4-hydroxybenzoic acid,3,0.13990169014623144,0.11724934035532564,3
vanacloig2022,5HMF,5-(hydroxymethyl)furfural,3,0.17392265528348236,0.13105295157638738,3
vanacloig2022,Acetamide,acetamide,3,0.0700469947671755,0.13313417578235634,3
vanacloig2022,Acetosyringone,acetosyringone,3,0.5514495048950708,0.22403468244112398,3
vanacloig2022,Acetovanillone,acetovanillone,3,0.5639507271516826,0.2813561037763001,3
vanacloig2022,AzelaicAcid,azelaic acid,3,0.43859946012456846,0.3035435869278384,3
vanacloig2022,BMIMCl,1-butyl-3-methylimidazolium chloride,3,0.3132584991745026,0.29455043499222056,3
vanacloig2022,Benomyl,benomyl,3,0.17733536229973587,0.29902378853840167,3
vanacloig2022,BenzoicAcid,benzoic acid,3,0.21830178187025615,0.1419431560397254,3
vanacloig2022,CV,crystal violet,3,0.7401284875085109,0.16179405705399588,3
vanacloig2022,CaffeicAcid,caffeic acid,3,0.23012085759056322,0.1854904007401068,3
vanacloig2022,CinnamicAcid,cinnamic acid,3,0.3333196316680167,0.23601584714114957,3
vanacloig2022,CoumaricAcid,p-coumaric acid,3,0.18497637787792734,0.11311904661658356,3
vanacloig2022,CoumaroylAmide,"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",3,0.49043525094667145,0.30819617131568083,3
vanacloig2022,EMIMCl,1-ethyl-3-methylimidazolium chloride,3,0.5394892482548425,0.26539831904781735,3
vanacloig2022,EtOH,ethanol,3,0.6829097764361415,0.23560242451836447,3
vanacloig2022,FerulicAcid,ferulic acid,3,0.550517673373537,0.43643460490751135,3
vanacloig2022,FeruloylAmide,ferulamide,3,0.4386398346594837,0.2883349873677686,3
vanacloig2022,Furfural,furfural,3,0.3885045836202286,0.28050969227439815,3
vanacloig2022,GVL,gamma-valerolactone,3,0.545781802762115,0.40972908247268375,3
vanacloig2022,IBA,isobutanol,3,0.4837551674232341,0.23587220771266584,3
vanacloig2022,LevulinicAcid,levulinic acid,3,0.08165407727627236,0.12760992412049366,3
vanacloig2022,MMS,methyl methanesulfonate,3,0.5358925140608592,0.3994568228943229,3
vanacloig2022,Methylglyoxal,methylglyoxal,3,0.5812213641837408,0.2813812290992818,3
vanacloig2022,Mycobutanil,myclobutanil,3,0.2338900751686913,0.17956149607844177,3
vanacloig2022,NAO,nonylacridine orange,3,0.5341231064021196,0.16060988492915684,3
vanacloig2022,SinapicAcid,sinapic acid,3,0.2007905840507663,0.1585620382141695,3
vanacloig2022,SodiumAcetate,sodium acetate,3,0.11071971056842944,0.11682839328667821,3
vanacloig2022,SodiumButyrate,sodium butyrate,3,-0.07323075146708687,0.03138261793563899,3
vanacloig2022,SodiumGlyoxylate,sodium glyoxylate,3,-0.006247350818651502,0.08039614121510673,3
vanacloig2022,Syringaldehyde,syringaldehyde,3,0.412876035144684,0.2658012940915386,3
vanacloig2022,SyringicAcid,syringic acid,3,0.5628460041641395,0.25061835613386546,3
vanacloig2022,VanillicAcid,vanillic acid,3,0.44091847723831057,0.23685023667525598,3
vanacloig2022,Vanillin,vanillin,3,0.3235876264161477,0.2889331432625161,3
hillenmeyer2008_hom,"1,3-diallylurea","n,n'-di-2-propen-1-ylurea",2,0.5564919098449683,0.26993865030674846,1
hillenmeyer2008_hom,"1,8-nonadiene","1,8-nonadiene",2,0.03331184086746427,0.04020100502512563,1
hillenmeyer2008_hom,23 degrees C,23 degrees C,3,0.44692616379113687,0.0510597990160034,3
hillenmeyer2008_hom,25 degrees C,25 degrees C,2,0.13401331281357123,0.04656862745098039,1
hillenmeyer2008_hom,37 degrees C,37 degrees C,6,0.30713182920096116,0.1095433717924285,15
hillenmeyer2008_hom,4nqo,4-nitroquinoline 1-oxide,2,0.5317653569421797,0.3183098591549296,1
hillenmeyer2008_hom,5-fluorouracil,5-fluorouracil,8,0.3642278179707622,0.15108362225113678,28
hillenmeyer2008_hom,H2O2,hydrogen peroxide,2,0.9681979166530139,0.8152610441767069,1
hillenmeyer2008_hom,acriflavinium hydrochloride,"3,6-diamino-10-methylacridinium chloride",3,0.5131187400208256,0.26425557194362503,3
hillenmeyer2008_hom,aklavin hydrochloride,aklavin hydrochloride,3,0.41936760051485567,0.20267844334978113,3
hillenmeyer2008_hom,allyl disulfide,diallyl disulfide,3,0.20658432610889954,0.14429011303802433,3
hillenmeyer2008_hom,alverine citrate,alverine citrate,2,0.7183650696805878,0.5390334572490706,1
hillenmeyer2008_hom,amphotericin b,amphotericin b,2,0.7866364253990642,0.38,1
hillenmeyer2008_hom,angelicin,isopsoralen,5,0.21937802779404908,0.10329742508486692,10
hillenmeyer2008_hom,bcs,BCS,2,0.6422347730658083,0.23952095808383234,1
hillenmeyer2008_hom,benomyl,benomyl,3,0.345429402603652,0.1910467698481586,3
hillenmeyer2008_hom,berberine chloride,berberine chloride,2,0.4955833028787984,0.2621951219512195,1
hillenmeyer2008_hom,biotin partial drop-out,biotin partial drop-out,3,0.6655937077955023,0.5159055475957,3
hillenmeyer2008_hom,bisphenol s,bisphenol s,3,0.6021327280677023,0.4973385880406753,3
hillenmeyer2008_hom,bleomycin,bleomycin,4,0.66630839864243,0.7076361846818094,6
hillenmeyer2008_hom,busulfan,busulfan,2,0.07061990251066962,0.04020100502512563,1
