Source Plate Name,Source Plate Type,Source Well,Sample Name,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume
Source[1],384PP_AQ_SP,C1,YLR312C-B,384_OD1_2p5-5nL,384PP_Dest,B2,2.5
Source[1],384PP_AQ_SP,A9,ELC1,384_OD1_2p5-5nL,384PP_Dest,B3,2.5
Source[1],384PP_AQ_SP,A7,YOS9,384_OD1_2p5-5nL,384PP_Dest,B4,2.5
Source[1],384PP_AQ_SP,A5,YPL081W,384_OD1_2p5-5nL,384PP_Dest,B5,2.5
Source[1],384PP_AQ_SP,A9,ELC1,384_OD1_2p5-5nL,384PP_Dest,B6,2.5
Source[1],384PP_AQ_SP,C1,YLR312C-B,384_OD1_2p5-5nL,384PP_Dest,B7,2.5
Source[1],384PP_AQ_SP,A3,YJR060W,384_OD1_2p5-5nL,384PP_Dest,B8,2.5
Source[1],384PP_AQ_SP,C3,Blank_media,384_OD1_2p5-5nL,384PP_Dest,B9,2.5
Source[1],384PP_AQ_SP,A9,ELC1,384_OD1_2p5-5nL,384PP_Dest,B10,2.5
Source[1],384PP_AQ_SP,A15,LCL1,384_OD1_2p5-5nL,384PP_Dest,B11,2.5
Source[1],384PP_AQ_SP,A7,YOS9,384_OD1_2p5-5nL,384PP_Dest,B12,2.5
Source[1],384PP_AQ_SP,A15,LCL1,384_OD1_2p5-5nL,384PP_Dest,B13,5
Source[1],384PP_AQ_SP,A1,BY4741,384_OD1_2p5-5nL,384PP_Dest,B14,5
Source[1],384PP_AQ_SP,A1,BY4741,384_OD1_2p5-5nL,384PP_Dest,B15,5
Source[1],384PP_AQ_SP,A19,YER079W,384_OD1_2p5-5nL,384PP_Dest,B16,5
Source[1],384PP_AQ_SP,A15,LCL1,384_OD1_2p5-5nL,384PP_Dest,B17,5
Source[1],384PP_AQ_SP,A11,COS111,384_OD1_2p5-5nL,384PP_Dest,B18,5
Source[1],384PP_AQ_SP,A17,YEH1,384_OD1_2p5-5nL,384PP_Dest,B19,5
Source[1],384PP_AQ_SP,A11,COS111,384_OD1_2p5-5nL,384PP_Dest,B20,5
Source[1],384PP_AQ_SP,A3,YJR060W,384_OD1_2p5-5nL,384PP_Dest,B21,5
Source[1],384PP_AQ_SP,A23,SPH1,384_OD1_2p5-5nL,384PP_Dest,B22,5
