Source Plate Name,Source Plate Type,Source Well,Sample Name,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,A1,2.5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,A2,2.5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,A3,2.5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,A4,2.5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,A5,2.5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,A6,2.5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,A7,2.5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,A8,2.5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,A9,2.5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,A10,2.5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,A11,2.5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,A12,2.5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,A13,2.5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,A14,2.5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,A15,2.5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,A16,2.5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,A17,2.5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,A18,2.5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,A19,2.5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,A20,2.5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,A21,2.5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,A22,2.5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,A23,2.5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,A24,2.5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B1,2.5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,B2,2.5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,B3,2.5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,B4,2.5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B5,2.5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,B6,2.5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,B7,2.5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,B8,2.5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,B9,2.5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B10,2.5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,B11,2.5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,B12,2.5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,B13,2.5
Source[1],384PP_AQ_SP,A21,YKL033W-A,Plate_13strain_384_2p5nL,384PP_Dest,B14,2.5
