Source Plate Name,Source Plate Type,Source Well,Sample Name,Destination Plate Name,Destination Plate Type,Destination Well,Transfer Volume
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,A1,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,A2,5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,A3,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,A4,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,A5,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,A6,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,A7,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,A8,5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,A9,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,A10,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,A11,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,A12,5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,A13,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,A14,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,A15,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,A16,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,A17,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,A18,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,A19,5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,A20,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,A21,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,A22,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,A23,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,A24,5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B1,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,B2,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,B3,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,B4,5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B5,5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,B6,5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,B7,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,B8,5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,B9,5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B10,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,B11,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,B12,5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,B13,5
Source[1],384PP_AQ_SP,A21,YKL033W-A,Plate_13strain_384_2p5nL,384PP_Dest,B14,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,B15,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,B16,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,B17,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,B18,5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,B19,5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,B20,5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,B21,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,B22,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,B23,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,B24,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,C1,5
Source[1],384PP_AQ_SP,A11,COS111,Plate_13strain_384_2p5nL,384PP_Dest,C2,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,C3,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,C4,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,C5,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,C6,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,C7,5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,C8,5
Source[1],384PP_AQ_SP,A23,SPH1,Plate_13strain_384_2p5nL,384PP_Dest,C9,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,C10,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,C11,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,C12,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,C13,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,C14,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,C15,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,C16,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,C17,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,C18,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,C19,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,C20,5
Source[1],384PP_AQ_SP,A17,YEH1,Plate_13strain_384_2p5nL,384PP_Dest,C21,5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,C22,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,C23,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,C24,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,D1,5
Source[1],384PP_AQ_SP,C1,YLR312C-B,Plate_13strain_384_2p5nL,384PP_Dest,D2,5
Source[1],384PP_AQ_SP,A21,YKL033W-A,Plate_13strain_384_2p5nL,384PP_Dest,D3,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,D4,5
Source[1],384PP_AQ_SP,A21,YKL033W-A,Plate_13strain_384_2p5nL,384PP_Dest,D5,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,D6,5
Source[1],384PP_AQ_SP,A19,YER079W,Plate_13strain_384_2p5nL,384PP_Dest,D7,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,D8,5
Source[1],384PP_AQ_SP,A3,YJR060W,Plate_13strain_384_2p5nL,384PP_Dest,D9,5
Source[1],384PP_AQ_SP,A1,BY4741,Plate_13strain_384_2p5nL,384PP_Dest,D10,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,D11,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,D12,5
Source[1],384PP_AQ_SP,A9,ELC1,Plate_13strain_384_2p5nL,384PP_Dest,D13,5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,D14,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,D15,5
Source[1],384PP_AQ_SP,A15,LCL1,Plate_13strain_384_2p5nL,384PP_Dest,D16,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,D17,5
Source[1],384PP_AQ_SP,A21,YKL033W-A,Plate_13strain_384_2p5nL,384PP_Dest,D18,5
Source[1],384PP_AQ_SP,A5,YPL081W,Plate_13strain_384_2p5nL,384PP_Dest,D19,5
Source[1],384PP_AQ_SP,A7,YOS9,Plate_13strain_384_2p5nL,384PP_Dest,D20,5
Source[1],384PP_AQ_SP,A13,MMS2,Plate_13strain_384_2p5nL,384PP_Dest,D21,5
