Run ID,1784323869
Run Date/Time,2026-07-17 15:26:08
Application Name,Echo Cherry Pick
Application Version,1.8.3
Protocol Name,P1_Protocol.ecp
Sample Pick List File Name,E:\20260717_TC_12sKO_Plating\TC_cherrypick_P2_13strain_384_5nL.csv
Control Pick List File Name,
Reference ID,
Order ID,
User Name,Thermo

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2026-07-17 16:31:55.665,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,A1,0,0,,YLR312C-B,5,5,60.984,100,,AQ,
2026-07-17 16:31:56.936,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,D2,0,0,,YLR312C-B,5,5,60.979,100,,AQ,
2026-07-17 16:31:57.301,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,B3,0,0,,BY4741,5,5,61.201,100,,AQ,
2026-07-17 16:31:57.682,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,A5,0,0,,BY4741,5,5,61.196,100,,AQ,
2026-07-17 16:31:58.002,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,C5,0,0,,BY4741,5,5,61.191,100,,AQ,
2026-07-17 16:31:58.320,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,C6,0,0,,BY4741,5,5,61.186,100,,AQ,
2026-07-17 16:31:58.596,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,C7,0,0,,BY4741,5,5,61.181,100,,AQ,
2026-07-17 16:31:58.870,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,B8,0,0,,BY4741,5,5,61.176,100,,AQ,
2026-07-17 16:31:59.143,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,B7,0,0,,YLR312C-B,5,5,60.974,100,,AQ,
2026-07-17 16:31:59.528,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,E8,0,0,,YLR312C-B,5,5,60.969,100,,AQ,
2026-07-17 16:31:59.892,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,E9,0,0,,BY4741,5,5,61.171,100,,AQ,
2026-07-17 16:32:00.273,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,D10,0,0,,BY4741,5,5,61.166,100,,AQ,
2026-07-17 16:32:00.548,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,F10,0,0,,YLR312C-B,5,5,60.964,100,,AQ,
2026-07-17 16:32:00.929,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,E11,0,0,,YLR312C-B,5,5,60.959,100,,AQ,
2026-07-17 16:32:01.204,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,H12,0,0,,YLR312C-B,5,5,60.954,100,,AQ,
2026-07-17 16:32:01.570,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,J12,0,0,,YLR312C-B,5,5,60.949,100,,AQ,
2026-07-17 16:32:01.889,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,H11,0,0,,BY4741,5,5,61.161,100,,AQ,
2026-07-17 16:32:02.272,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,H10,0,0,,BY4741,5,5,61.156,100,,AQ,
2026-07-17 16:32:02.547,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,I9,0,0,,BY4741,5,5,61.151,100,,AQ,
2026-07-17 16:32:02.822,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,J9,0,0,,BY4741,5,5,61.146,100,,AQ,
2026-07-17 16:32:03.097,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,L10,0,0,,BY4741,5,5,61.141,100,,AQ,
2026-07-17 16:32:03.415,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,M10,0,0,,YLR312C-B,5,5,60.944,100,,AQ,
2026-07-17 16:32:03.798,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,O9,0,0,,YLR312C-B,5,5,60.939,100,,AQ,
2026-07-17 16:32:04.119,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,P11,0,0,,BY4741,5,5,61.136,100,,AQ,
2026-07-17 16:32:04.501,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,O13,0,0,,BY4741,5,5,61.131,100,,AQ,
2026-07-17 16:32:04.819,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,P14,0,0,,BY4741,5,5,61.126,100,,AQ,
2026-07-17 16:32:05.092,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,O15,0,0,,BY4741,5,5,61.121,100,,AQ,
2026-07-17 16:32:05.364,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,N15,0,0,,YLR312C-B,5,5,60.934,100,,AQ,
2026-07-17 16:32:05.747,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,M16,0,0,,YLR312C-B,5,5,60.929,100,,AQ,
2026-07-17 16:32:06.021,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,K17,0,0,,YLR312C-B,5,5,60.924,100,,AQ,
2026-07-17 16:32:06.341,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,K20,0,0,,YLR312C-B,5,5,60.919,100,,AQ,
2026-07-17 16:32:06.705,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,O20,0,0,,YLR312C-B,5,5,60.914,100,,AQ,
2026-07-17 16:32:07.114,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,P20,0,0,,BY4741,5,5,61.116,100,,AQ,
2026-07-17 16:32:07.493,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,J22,0,0,,BY4741,5,5,61.111,100,,AQ,
2026-07-17 16:32:07.992,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,I22,0,0,,YLR312C-B,5,5,60.909,100,,AQ,
2026-07-17 16:32:08.374,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,G22,0,0,,YLR312C-B,5,5,60.904,100,,AQ,
2026-07-17 16:32:08.694,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,F20,0,0,,YLR312C-B,5,5,60.899,100,,AQ,
2026-07-17 16:32:09.012,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,E20,0,0,,YLR312C-B,5,5,60.894,100,,AQ,
2026-07-17 16:32:09.286,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,A20,0,0,,YLR312C-B,5,5,60.889,100,,AQ,
2026-07-17 16:32:09.718,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,B21,0,0,,YLR312C-B,5,5,60.884,100,,AQ,
2026-07-17 16:32:10.014,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,C22,0,0,,YLR312C-B,5,5,60.879,100,,AQ,
2026-07-17 16:32:10.311,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,A22,0,0,,BY4741,5,5,61.106,100,,AQ,
2026-07-17 16:32:10.691,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,C24,0,0,,BY4741,5,5,61.101,100,,AQ,
2026-07-17 16:32:11.009,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,H23,0,0,,BY4741,5,5,61.096,100,,AQ,
2026-07-17 16:32:11.462,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,H18,0,0,,BY4741,5,5,61.091,100,,AQ,
2026-07-17 16:32:11.916,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,I18,0,0,,BY4741,5,5,61.086,100,,AQ,
2026-07-17 16:32:12.190,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,J16,0,0,,BY4741,5,5,61.081,100,,AQ,
2026-07-17 16:32:12.508,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,E16,0,0,,YLR312C-B,5,5,60.874,100,,AQ,
2026-07-17 16:32:13.051,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,A11,0,0,,BY4741,5,5,61.076,100,,AQ,
2026-07-17 16:32:13.504,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,G8,0,0,,BY4741,5,5,61.071,100,,AQ,
2026-07-17 16:32:14.002,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,I8,0,0,,YLR312C-B,5,5,60.869,100,,AQ,
2026-07-17 16:32:14.384,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,I4,0,0,,YLR312C-B,5,5,60.864,100,,AQ,
2026-07-17 16:32:14.796,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,I3,0,0,,BY4741,5,5,61.066,100,,AQ,
2026-07-17 16:32:15.177,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,I5,0,0,,BY4741,5,5,61.061,100,,AQ,
2026-07-17 16:32:15.493,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,F5,0,0,,YLR312C-B,5,5,60.859,100,,AQ,
2026-07-17 16:32:15.948,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,J1,0,0,,YLR312C-B,5,5,60.854,100,,AQ,
2026-07-17 16:32:16.356,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,L1,0,0,,YLR312C-B,5,5,60.849,100,,AQ,
2026-07-17 16:32:16.678,Source[1],,384PP_AQ_SP2,A1,Plate_13strain_384_2p5nL,,384PP_Dest,M7,0,0,,BY4741,5,5,61.056,100,,AQ,
2026-07-17 16:32:17.175,Source[1],,384PP_AQ_SP2,C1,Plate_13strain_384_2p5nL,,384PP_Dest,L23,0,0,,YLR312C-B,5,5,60.844,100,,AQ,
2026-07-17 16:32:18.122,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,L22,0,0,,YJR060W,5,5,61.28,100,,AQ,
2026-07-17 16:32:18.503,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,J21,0,0,,YJR060W,5,5,61.275,100,,AQ,
2026-07-17 16:32:18.824,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,J23,0,0,,YJR060W,5,5,61.27,100,,AQ,
2026-07-17 16:32:19.142,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,M24,0,0,,YJR060W,5,5,61.265,100,,AQ,
2026-07-17 16:32:19.505,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,L19,0,0,,YJR060W,5,5,61.26,100,,AQ,
2026-07-17 16:32:19.958,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,N19,0,0,,YJR060W,5,5,61.255,100,,AQ,
2026-07-17 16:32:20.277,Source[1],,384PP_AQ_SP2,A3,Plate_13strain_384_2p5nL,,384PP_Dest,O19,0,0,,YJR060W,5,5,61.25,100,,AQ,
