id,gene1,gene2,ours_fitness,ours_boot_se,ours_plate_sd,costanzo_dmf,costanzo_sd,tier,is_parent
d1,YDR057W,YPL081W,0.6071,0.0479,0.1029,1.0351,0.0447,coverage,True
d2,YPL046C,YPL081W,0.9335,0.004,0.0084,,,novel,False
d3,YER079W,YPL081W,0.9496,0.0556,0.1195,0.8625,0.0975,validation,False
d4,YLR312C-B,YPL081W,0.648,0.0454,0.0968,1.0165,0.0418,coverage,True
d5,YDR057W,YGL087C,0.7884,0.0007,0.0015,1.1372,0.0238,validation,True
d6,YDR057W,YER079W,0.9403,0.0472,0.0991,1.0963,0.0541,coverage,False
d7,YDR057W,YLR312C-B,0.8895,0.0543,0.115,1.1783,0.0257,validation,False
d8,YJR060W,YPL046C,0.5649,0.0435,0.093,0.9663,0.0178,coverage,True
d9,YBR203W,YPL046C,0.8882,0.0232,0.0501,1.1179,0.0171,coverage,True
d10,YDR057W,YLL012W,0.9315,0.0269,0.0572,0.9995,0.069,coverage,True
d11,YLL012W,YPL046C,0.9087,0.0348,0.0744,1.0251,0.0534,coverage,True
d12,YER079W,YJR060W,0.6886,0.065,0.1365,0.61,0.0183,validation,False
d13,YER079W,YLR312C-B,0.7728,0.0514,0.1084,1.0994,0.0393,coverage,True
