id,gene1,gene1_common,gene2,gene2_common
D01,YBR203W,COS111,YDR057W,YOS9
D02,YBR203W,COS111,YGL087C,MMS2
D03,YBR203W,COS111,YJR060W,CBF1
D04,YBR203W,COS111,YKL033W-A,
D05,YBR203W,COS111,YLL012W,YEH1
D06,YBR203W,COS111,YLR104W,LCL2
D07,YBR203W,COS111,YLR312C-B,
D08,YBR203W,COS111,YPL081W,RPS9A
D09,YDR057W,YOS9,YKL033W-A,
D10,YER079W,,YLL012W,YEH1
D11,YER079W,,YLR104W,LCL2
D12,YGL087C,MMS2,YLL012W,YEH1
D13,YGL087C,MMS2,YLR312C-B,
D14,YGL087C,MMS2,YPL046C,ELC1
D15,YGL087C,MMS2,YPL081W,RPS9A
D16,YJR060W,CBF1,YLL012W,YEH1
D17,YJR060W,CBF1,YLR104W,LCL2
D18,YKL033W-A,,YLL012W,YEH1
D19,YKL033W-A,,YLR312C-B,
D20,YKL033W-A,,YPL046C,ELC1
D21,YKL033W-A,,YPL081W,RPS9A
D22,YLL012W,YEH1,YLR312C-B,
D23,YLR104W,LCL2,YLR312C-B,
D24,YLR104W,LCL2,YPL046C,ELC1
D25,YLR104W,LCL2,YPL081W,RPS9A
