id,gene1,gene1_common,gene2,gene2_common,gene3,gene3_common,build_from_gene1,build_from_gene1_common,build_from_gene2,build_from_gene2_common,third_single,third_single_common,routes
T01,YKL033W-A,,YLR312C-B,,YPL081W,RPS9A,YLR312C-B,,YPL081W,RPS9A,YKL033W-A,,1
T02,YER079W,,YLL012W,YEH1,YLR312C-B,,YER079W,,YLR312C-B,,YLL012W,YEH1,1
T03,YLR104W,LCL2,YLR312C-B,,YPL081W,RPS9A,YLR312C-B,,YPL081W,RPS9A,YLR104W,LCL2,1
T04,YBR203W,COS111,YLR312C-B,,YPL081W,RPS9A,YLR312C-B,,YPL081W,RPS9A,YBR203W,COS111,1
T05,YER079W,,YLR104W,LCL2,YLR312C-B,,YER079W,,YLR312C-B,,YLR104W,LCL2,1
T06,YGL087C,MMS2,YLR312C-B,,YPL081W,RPS9A,YLR312C-B,,YPL081W,RPS9A,YGL087C,MMS2,1
T07,YBR203W,COS111,YDR057W,YOS9,YPL081W,RPS9A,YDR057W,YOS9,YPL081W,RPS9A,YBR203W,COS111,1
T08,YDR057W,YOS9,YKL033W-A,,YPL081W,RPS9A,YDR057W,YOS9,YPL081W,RPS9A,YKL033W-A,,1
T09,YDR057W,YOS9,YKL033W-A,,YLL012W,YEH1,YDR057W,YOS9,YLL012W,YEH1,YKL033W-A,,1
T10,YGL087C,MMS2,YLL012W,YEH1,YPL046C,ELC1,YLL012W,YEH1,YPL046C,ELC1,YGL087C,MMS2,1
T11,YBR203W,COS111,YLR104W,LCL2,YPL046C,ELC1,YBR203W,COS111,YPL046C,ELC1,YLR104W,LCL2,1
T12,YBR203W,COS111,YKL033W-A,,YPL046C,ELC1,YBR203W,COS111,YPL046C,ELC1,YKL033W-A,,1
T13,YJR060W,CBF1,YLR104W,LCL2,YPL046C,ELC1,YJR060W,CBF1,YPL046C,ELC1,YLR104W,LCL2,1
T14,YBR203W,COS111,YGL087C,MMS2,YPL046C,ELC1,YBR203W,COS111,YPL046C,ELC1,YGL087C,MMS2,1
T15,YBR203W,COS111,YDR057W,YOS9,YLL012W,YEH1,YDR057W,YOS9,YLL012W,YEH1,YBR203W,COS111,1
T16,YDR057W,YOS9,YGL087C,MMS2,YPL081W,RPS9A,YDR057W,YOS9,YGL087C,MMS2,YPL081W,RPS9A,2
T17,YJR060W,CBF1,YLL012W,YEH1,YPL046C,ELC1,YJR060W,CBF1,YPL046C,ELC1,YLL012W,YEH1,2
T18,YBR203W,COS111,YLL012W,YEH1,YPL046C,ELC1,YBR203W,COS111,YPL046C,ELC1,YLL012W,YEH1,2
T19,YBR203W,COS111,YJR060W,CBF1,YPL046C,ELC1,YBR203W,COS111,YPL046C,ELC1,YJR060W,CBF1,2
T20,YDR057W,YOS9,YGL087C,MMS2,YLL012W,YEH1,YDR057W,YOS9,YGL087C,MMS2,YLL012W,YEH1,2
