strategy,gene,scorable_triples
rank,YPL046C,0
rank,YLL012W,3
rank,YJR060W,1
rank,YKL033W-A,1
rank,YER079W,3
rank,YDR057W,3
rank,YLR312C-B,6
rank,YBR203W,1
rank,YPL081W,4
rank,YGL087C,2
count,YPL046C,7
count,YLL012W,7
count,YJR060W,4
count,YKL033W-A,0
count,YER079W,7
count,YDR057W,4
count,YLR312C-B,5
count,YBR203W,5
count,YPL081W,0
count,YGL087C,0
balanced,YPL046C,4
balanced,YLL012W,6
balanced,YJR060W,2
balanced,YKL033W-A,0
balanced,YER079W,6
balanced,YDR057W,5
balanced,YLR312C-B,4
balanced,YBR203W,3
balanced,YPL081W,2
balanced,YGL087C,4
no_ylr,YPL046C,5
no_ylr,YLL012W,4
no_ylr,YJR060W,3
no_ylr,YKL033W-A,0
no_ylr,YER079W,7
no_ylr,YDR057W,6
no_ylr,YLR312C-B,0
no_ylr,YBR203W,6
no_ylr,YPL081W,1
no_ylr,YGL087C,1
