target,strategy,new_doubles,new_triples,construct_total,measure_singles,measure_doubles,measure_triples,measure_plus_wt,wells_per_strain,tubes_1pick,tubes_2pick,genes,ylr_share,picks
10,rank,11,10,21,9,19,10,39,9,39,83,9,8,YKL033W-A + YLR312C-B;YKL033W-A + YPL081W;YER079W + YLL012W;YLL012W + YLR312C-B;YBR203W + YLR312C-B;YBR203W + YPL081W;YGL087C + YLR312C-B;YGL087C + YPL081W;YJR060W + YLR312C-B;YER079W + YKL033W-A;YBR203W + YER079W
15,rank,14,16,30,9,22,16,48,7,48,101,9,9,YKL033W-A + YLR312C-B;YKL033W-A + YPL081W;YER079W + YLL012W;YLL012W + YLR312C-B;YBR203W + YLR312C-B;YBR203W + YPL081W;YGL087C + YLR312C-B;YGL087C + YPL081W;YJR060W + YLR312C-B;YER079W + YKL033W-A;YBR203W + YER079W;YER079W + YGL087C;YBR203W + YDR057W;YDR057W + YKL033W-A
20,rank,16,20,36,10,27,20,58,6,58,121,10,9,YKL033W-A + YLR312C-B;YKL033W-A + YPL081W;YER079W + YLL012W;YLL012W + YLR312C-B;YBR203W + YLR312C-B;YBR203W + YPL081W;YGL087C + YLR312C-B;YGL087C + YPL081W;YJR060W + YLR312C-B;YER079W + YKL033W-A;YBR203W + YER079W;YER079W + YGL087C;YBR203W + YDR057W;YDR057W + YKL033W-A;YDR057W + YJR060W;YER079W + YPL046C
10,count,8,11,19,7,16,11,35,10,35,75,7,3,YJR060W + YLR312C-B;YBR203W + YJR060W;YBR203W + YLL012W;YBR203W + YDR057W;YBR203W + YER079W;YER079W + YPL046C;YER079W + YLL012W;YLL012W + YLR312C-B
15,count,11,16,27,8,21,16,46,7,46,97,8,7,YJR060W + YLR312C-B;YBR203W + YJR060W;YBR203W + YLL012W;YBR203W + YDR057W;YBR203W + YER079W;YER079W + YPL046C;YER079W + YLL012W;YLL012W + YLR312C-B;YLR312C-B + YPL046C;YBR203W + YLR312C-B;YBR203W + YPL081W
20,count,15,20,35,9,26,20,56,6,56,117,9,8,YJR060W + YLR312C-B;YBR203W + YJR060W;YBR203W + YLL012W;YBR203W + YDR057W;YBR203W + YER079W;YER079W + YPL046C;YER079W + YLL012W;YLL012W + YLR312C-B;YLR312C-B + YPL046C;YBR203W + YLR312C-B;YBR203W + YPL081W;YDR057W + YJR060W;YER079W + YGL087C;YGL087C + YLL012W;YGL087C + YLR312C-B
10,balanced,7,10,17,9,18,10,38,9,38,81,9,4,YBR203W + YJR060W;YER079W + YGL087C;YLL012W + YLR312C-B;YER079W + YLL012W;YER079W + YPL046C;YGL087C + YPL081W;YGL087C + YLR312C-B
15,balanced,11,15,26,9,22,15,47,7,47,99,9,4,YBR203W + YJR060W;YER079W + YGL087C;YLL012W + YLR312C-B;YER079W + YLL012W;YER079W + YPL046C;YGL087C + YPL081W;YGL087C + YLR312C-B;YBR203W + YLL012W;YBR203W + YDR057W;YBR203W + YER079W;YBR203W + YPL081W
20,balanced,15,21,36,9,26,21,57,6,57,119,9,9,YBR203W + YJR060W;YER079W + YGL087C;YLL012W + YLR312C-B;YER079W + YLL012W;YER079W + YPL046C;YGL087C + YPL081W;YGL087C + YLR312C-B;YBR203W + YLL012W;YBR203W + YDR057W;YBR203W + YER079W;YBR203W + YPL081W;YBR203W + YLR312C-B;YJR060W + YLL012W;YJR060W + YLR312C-B;YLR312C-B + YPL046C
10,no_ylr,8,10,18,7,15,10,33,10,33,71,7,0,YER079W + YLL012W;YER079W + YPL046C;YBR203W + YER079W;YBR203W + YDR057W;YBR203W + YLL012W;YBR203W + YJR060W;YBR203W + YPL081W;YDR057W + YJR060W
15,no_ylr,13,15,28,8,21,15,45,7,45,95,8,0,YER079W + YLL012W;YER079W + YPL046C;YBR203W + YER079W;YBR203W + YDR057W;YBR203W + YLL012W;YBR203W + YJR060W;YBR203W + YPL081W;YDR057W + YJR060W;YER079W + YGL087C;YGL087C + YLL012W;YGL087C + YPL046C;YBR203W + YGL087C;YGL087C + YPL081W
20,no_ylr,20,20,40,9,28,20,58,6,58,121,9,0,YER079W + YLL012W;YER079W + YPL046C;YBR203W + YER079W;YBR203W + YDR057W;YBR203W + YLL012W;YBR203W + YJR060W;YBR203W + YPL081W;YDR057W + YJR060W;YER079W + YGL087C;YGL087C + YLL012W;YGL087C + YPL046C;YBR203W + YGL087C;YGL087C + YPL081W;YJR060W + YLL012W;YBR203W + YKL033W-A;YKL033W-A + YPL046C;YDR057W + YKL033W-A;YER079W + YKL033W-A;YKL033W-A + YLL012W;YKL033W-A + YPL081W
