strategy,order,double
rank,1,YKL033W-A + YLR312C-B
rank,2,YKL033W-A + YPL081W
rank,3,YER079W + YLL012W
rank,4,YLL012W + YLR312C-B
rank,5,YBR203W + YLR312C-B
rank,6,YBR203W + YPL081W
rank,7,YGL087C + YLR312C-B
rank,8,YGL087C + YPL081W
rank,9,YJR060W + YLR312C-B
count,1,YJR060W + YLR312C-B
count,2,YBR203W + YJR060W
count,3,YBR203W + YLL012W
count,4,YBR203W + YDR057W
count,5,YBR203W + YER079W
count,6,YER079W + YPL046C
count,7,YER079W + YLL012W
count,8,YLL012W + YLR312C-B
count,9,YLR312C-B + YPL046C
balanced,1,YBR203W + YJR060W
balanced,2,YER079W + YGL087C
balanced,3,YLL012W + YLR312C-B
balanced,4,YER079W + YLL012W
balanced,5,YER079W + YPL046C
balanced,6,YGL087C + YPL081W
balanced,7,YGL087C + YLR312C-B
balanced,8,YBR203W + YLL012W
balanced,9,YBR203W + YDR057W
no_ylr,1,YER079W + YLL012W
no_ylr,2,YER079W + YPL046C
no_ylr,3,YBR203W + YER079W
no_ylr,4,YBR203W + YDR057W
no_ylr,5,YBR203W + YLL012W
no_ylr,6,YBR203W + YJR060W
no_ylr,7,YBR203W + YPL081W
no_ylr,8,YDR057W + YJR060W
no_ylr,9,YER079W + YGL087C
