strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YEH1,11,4,0.7644254148862397,0.7315207049495285,0.13856937648566828,0.6417502040344346,0.1163317230181782,-0.6399162454042843,0.00404040404040404,0,
SPH1,11,6,0.7649395402468931,0.8068297175046156,0.09422602363608154,0.642181822409064,0.07910460421152761,-0.6389462661541896,0.000666000666000666,0,
YJR060W,11,11,0.9363938846534878,0.8629366536558283,0.17070033822998776,0.7861211242203426,0.14330629876316214,-0.34717647725195827,5.292265354184859e-05,0,
ELC1,11,9,0.9431542783695557,0.9291270240453655,0.1269952427018655,0.7917966080048336,0.10661500955911214,-0.33679820789960924,0.00032908268202385847,0,
LCL1,11,9,0.9672727272727273,0.8653753906061401,0.25519029776139074,0.8120445212782402,0.21423728524299826,-0.30036926788757595,0.0005758946935417523,0,
YKL033W-A,11,7,0.9974955468948798,0.9902278220420077,0.08362197913733599,0.8374171740986579,0.07020229982951945,-0.25598158911760754,0.0003108003108003108,0,
YER079W,11,8,1.0204588188833374,0.9927562268505652,0.1379999742576488,0.8566952935814907,0.11585369862378579,-0.22314593209809308,0.004662004662004662,2,
YPL081W,11,11,1.0365718875237875,0.9984025741194213,0.13935753451237057,0.8702225323235052,0.11699339721764584,-0.20054372240040677,0.0011907597046915933,0,
COS111,11,10,1.0685400159862375,1.02037606213177,0.16099784950658005,0.8970604063186148,0.13516086822588033,-0.15672295816863135,0.011655011655011656,0,
YOS9,11,9,1.0944770015938692,1.109245655085938,0.14423512194831645,0.9188350170021344,0.12108822801638361,-0.12212225570235746,0.13879062114356233,0,
MMS2,11,9,1.1115702479338843,1.1209834031704142,0.31157164057698716,0.9331851342440474,0.2615705339171401,-0.09976476969471408,0.37038255861785274,1,
YLR312C-B,11,10,1.1375449195594896,1.1288610657805045,0.20589644986908148,0.954991383082517,0.17285412826457727,-0.06644037916327511,0.3154166095342566,0,
BY4741,11,8,1.191157260380431,1.2059890560736775,0.10221259043949242,1.0,0.08580948447298035,0.0,,1,wild-type reference
Blank_media,11,0,0.2571397268989574,,,,,,,0,no-cell control (background); norm should be ~0
