gene,smf_records,smf_strains,smf_distinct_values,smf_fitness,smf_std,dmi_records,dmi_partners,dmi_significant_partners
YBR203W,4,2,1,1.037,0.0458,8076,5174,273
YDR057W,4,2,1,1.0435,0.0535,8379,5055,284
YER079W,4,2,1,1.0387,0.1173,8303,5232,386
YGL087C,4,2,1,0.996,0.094,8845,5225,357
YJR060W,4,2,2,0.59,0.1138,8885,5256,817
YKL033W-A,4,2,1,1.0327,0.1008,8250,5259,165
YLL012W,4,2,1,0.9925,0.0804,5333,4171,60
YLR104W,4,2,1,1.0322,0.0453,8074,5156,107
YLR312C-B,2,1,1,1.0845,0.0441,3544,3544,99
YPL046C,4,2,1,1.0433,0.0643,7933,5105,202
YPL081W,4,2,1,0.955,0.1553,8543,5111,283
