pair,measured,n_records,n_significant,min_p,max_abs_eps
YBR203W + YDR057W,1,2,0,1.4e-05,0.0616
YBR203W + YER079W,1,2,0,0.2183,0.0554
YBR203W + YGL087C,1,2,0,0.003934,0.0872
YBR203W + YJR060W,1,2,0,0.3556,0.0156
YBR203W + YKL033W-A,1,2,0,0.05081,0.0277
YBR203W + YLL012W,1,1,0,0.1585,0.0692
YBR203W + YLR104W,1,2,0,0.1628,0.0321
YBR203W + YLR312C-B,1,1,0,0.4579,0.0103
YBR203W + YPL046C,1,2,0,0.07702,0.1075
YBR203W + YPL081W,1,2,0,0.4262,0.0094
YDR057W + YER079W,1,2,0,0.2797,0.0124
YDR057W + YGL087C,1,2,1,0.000989,0.0979
YDR057W + YJR060W,1,2,0,0.2793,0.0243
YDR057W + YKL033W-A,1,2,0,0.1312,0.0509
YDR057W + YLL012W,1,1,0,0.2964,0.0361
YDR057W + YLR104W,1,2,0,0.2379,0.0433
YDR057W + YLR312C-B,1,1,0,0.119,0.0466
YDR057W + YPL046C,1,2,0,0.1669,0.0738
YDR057W + YPL081W,1,2,0,0.2599,0.0386
YER079W + YGL087C,1,2,0,0.3967,0.0638
YER079W + YJR060W,1,2,0,0.4541,0.0029
YER079W + YKL033W-A,1,2,0,0.231,0.091
YER079W + YLL012W,1,1,0,0.09627,0.0414
YER079W + YLR104W,1,2,1,0.000183,0.5672
YER079W + YLR312C-B,1,1,0,0.2897,0.027
YER079W + YPL046C,1,2,0,0.3716,0.0253
YER079W + YPL081W,1,2,1,0.03516,0.1295
YGL087C + YJR060W,1,2,0,0.004316,0.0748
YGL087C + YKL033W-A,1,2,0,0.1109,0.0372
YGL087C + YLL012W,1,1,0,0.4685,0.0028
YGL087C + YLR104W,1,2,0,0.06267,0.0462
YGL087C + YLR312C-B,1,1,0,0.3374,0.0293
YGL087C + YPL046C,1,2,0,0.01067,0.0714
YGL087C + YPL081W,1,2,0,0.1859,0.0554
YJR060W + YKL033W-A,1,2,1,0.006994,0.082
YJR060W + YLL012W,1,1,0,0.2491,0.0193
YJR060W + YLR104W,1,2,0,0.2012,0.0397
YJR060W + YLR312C-B,1,1,0,0.133,0.0238
YJR060W + YPL046C,1,2,0,0.165,0.0372
YJR060W + YPL081W,1,2,0,0.2614,0.0292
YKL033W-A + YLL012W,1,1,0,0.3016,0.026
YKL033W-A + YLR104W,1,1,0,0.2402,0.081
YKL033W-A + YLR312C-B,1,1,0,0.4409,0.0051
YKL033W-A + YPL046C,1,2,0,0.1116,0.0468
YKL033W-A + YPL081W,1,2,0,0.1345,0.0939
YLL012W + YLR104W,0,0,0,,
YLL012W + YLR312C-B,1,1,0,0.4112,0.0102
YLL012W + YPL046C,1,1,0,0.4293,0.0104
YLL012W + YPL081W,1,1,0,0.4321,0.0134
YLR104W + YLR312C-B,1,1,0,0.2121,0.0106
YLR104W + YPL046C,1,2,0,0.2526,0.0697
YLR104W + YPL081W,1,2,0,0.3211,0.0167
YLR312C-B + YPL046C,1,1,0,0.4088,0.0186
YLR312C-B + YPL081W,1,1,0,0.3554,0.0192
YPL046C + YPL081W,0,0,0,,
