strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YER079W,29,24,0.8198515536365933,0.8572799021833516,0.19681101036344012,0.6840510918833789,0.16421117449447153,-0.5478240106329058,2.6895707646659834e-07,0,
COS111,29,24,0.8864563024121761,0.8950328937098265,0.26104717516773074,0.7396234097285566,0.21780724134080312,-0.43513720686129276,3.057245052828239e-05,0,
YPL081W,29,29,0.9321995295608989,0.8811675395688175,0.21534273079567331,0.7777897147609224,0.17967329509413033,-0.3625479377206932,1.6192427055073313e-07,0,
YJR060W,29,28,0.932835791042637,0.9044739771710744,0.10816614939536362,0.7783205856964909,0.09024947537211893,-0.36156357961242275,2.650298222492634e-09,0,
YEH1,29,28,0.9435937662624632,0.9578608949421662,0.15121354307903467,0.7872966066150757,0.1261664856179778,-0.3450208349151407,1.0704055958467583e-06,1,
LCL1,29,27,0.9741295277769185,0.9465330881900542,0.16018555579918578,0.81277441526568,0.13365237141082384,-0.29907310560979666,1.445645845545638e-06,0,
YKL033W-A,29,28,0.9892865221783853,0.9725712147027534,0.15073637919920302,0.8254208004850576,0.12576835930894256,-0.2767983003774894,6.1740365086721236e-06,0,
SPH1,29,26,0.9943430637497717,0.9776507302858986,0.15780973433527715,0.8296397749661302,0.1316700817398488,-0.26944303273860903,2.168015434307221e-05,0,
MMS2,29,25,1.0053857289555408,0.9882286919872207,0.20284553137183303,0.838853329734433,0.1692461355998988,-0.25350951182949066,0.00045252513347693,0,
ELC1,29,24,1.0467649833609474,1.077609885921181,0.14178676810850235,0.8733785118015822,0.11830116453280262,-0.19532105872987435,0.007938267359358753,1,
YOS9,29,29,1.0673817115407722,1.088392053803166,0.16901753662818778,0.8905802788286936,0.14102142023774095,-0.1671824300536164,0.020766717563054666,0,
YLR312C-B,29,27,1.1166685480833096,1.1268824612852082,0.1803234160065434,0.9317032287125512,0.15045459030268907,-0.10205760207419516,0.1619825902628833,1,
BY4741,30,30,1.19852385788804,1.187383779007262,0.13995945287721753,1.0,0.11677652635454824,0.0,,0,wild-type reference
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
