strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YER079W,29,23,0.8796008747972478,0.8637204737252686,0.21685734049376396,0.757742310233843,0.18681425506175037,-0.4002207886481869,2.940259388990042e-06,0,
COS111,29,23,0.8898473580730871,0.8879217722822376,0.22266330043984023,0.7665692613336774,0.19181586616596746,-0.38351194622790485,7.5507086300815665e-06,0,
YPL081W,29,28,0.906375598566479,0.868401939500791,0.25709074401514237,0.7808077045803945,0.22147378418043956,-0.35696080619623655,1.7109849419609675e-06,0,
YJR060W,29,29,0.924143174571251,0.9017583170355695,0.11637379573921815,0.7961137876856604,0.1002515474469517,-0.3289534465335322,8.717465046633272e-09,0,
LCL1,29,24,0.9429303363058043,0.9366329363204048,0.0837635910459617,0.8122982046676906,0.07215911080952515,-0.2999186391316544,9.529205132442139e-08,2,
YEH1,29,29,0.980407987896405,1.0183921037146304,0.19100609047932804,0.8445837595279526,0.16454439782350397,-0.24368758901472418,0.00037728989820598273,0,
YKL033W-A,29,29,1.0,0.9820131560574322,0.1606678915915148,0.8614615241355986,0.13840920677007945,-0.2151417327706947,3.155300357718377e-05,0,
SPH1,29,26,1.0099297893784742,0.993423227644852,0.19826372817013616,0.8700156556279245,0.1707965734502515,-0.20088673289892606,0.0003108070262079208,1,
ELC1,29,24,1.0429837733217764,1.0505822284658195,0.17380820790483514,0.8984903910144751,0.14972908368897628,-0.15442502010027329,0.0035477700553855707,2,
MMS2,29,27,1.0830300435097828,1.043925338701499,0.2660570491940774,0.9329887119665812,0.22919791110574986,-0.10006846856740213,0.03287458013563357,0,
YLR312C-B,29,29,1.1227821967744585,1.1676841643360591,0.2750920771247777,0.9672336625056406,0.23698124003753862,-0.04806363950127104,0.39163790762986606,0,
YOS9,29,29,1.1363194227757971,1.1456822629346612,0.18456818156467578,0.9788954618493219,0.1589983869976415,-0.030773295042338188,0.24609359194715097,0,
BY4741,30,30,1.1608179494765163,1.2056830451041796,0.18327913299599236,1.0,0.15788792125297865,0.0,,0,wild-type reference
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
