strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YKL033W-A,29,28,0.8425468716805167,0.8376553772888657,0.1913683749898341,0.6681453398686065,0.15175640934095033,-0.5817661324569825,3.14505675260909e-09,0,
YJR060W,29,29,0.893340573976072,0.9051779578790782,0.13059705317056675,0.7084250876478106,0.10356434212668215,-0.49731279134608736,5.055861910419187e-10,0,
YEH1,29,24,0.9107453786429371,0.9065351183238141,0.16416515602412196,0.722227214888868,0.13018407361425874,-0.4694753100958928,8.691222039944551e-09,0,
YPL081W,29,29,0.9196672995543038,0.8714935647453185,0.17796885650667596,0.7293023582191328,0.1411305010005059,-0.4554110357981278,1.0239985983890425e-09,0,
SPH1,29,27,0.9558558520336118,0.9400409463821465,0.2195034732364744,0.7580001238964452,0.17406773160928132,-0.39973001067994984,2.6986772254844554e-07,0,
YER079W,29,20,0.960787869258491,0.9112418390622604,0.29239047562061743,0.7619112467499217,0.2318676150541317,-0.3923051435352034,2.0846922121440732e-05,0,
LCL1,29,23,0.9825032524705186,0.9588279961990793,0.20732324106742214,0.7791316917889473,0.16440872552213293,-0.36006089621090764,9.913225962838422e-07,0,
COS111,29,25,0.9986395116632751,0.9691915262093957,0.1407429046713297,0.7919278539312955,0.11161007065180585,-0.3365590907397399,2.3268044580096696e-08,0,
ELC1,29,29,0.9992616823308117,0.976010223713019,0.22346130591592903,0.7924212394580714,0.17720631956164393,-0.3356605452377345,9.957305782356927e-07,0,
YOS9,29,29,1.0792193795213278,1.0738922141379021,0.11162318751179459,0.8558282314725477,0.08851793895873035,-0.22460682451014177,1.2687141187562033e-06,0,
MMS2,29,28,1.100915517266101,1.110348968416112,0.17927631901659172,0.873033414726512,0.14216732757053485,-0.19589122186005756,0.0009055589633365378,0,
YLR312C-B,29,29,1.1873294007729065,1.1732950480480284,0.11392031749368828,0.9415602059421274,0.09033957849483525,-0.08687474722036578,0.016290401858266315,0,
BY4741,30,28,1.2610233453790263,1.2697196547348182,0.14106145119477362,1.0,0.11186268018882294,0.0,,2,wild-type reference
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
