strain,n_plates,boot_fitness,boot_se,across_plate_sd,mean_within_plate_sd,mean_within_plate_se,mean_n_used,orf,common_name,costanzo_smf,costanzo_se,kuzmin_smf,kuzmin_se
COS111,3,0.8237655864402305,0.0487401713593862,0.10231609832413137,0.1664699254681355,0.03371553318859399,24.333333333333332,YBR203W,COS111,1.037,0.0458,1.0411,
ELC1,3,0.8711787915575921,0.043563220243304834,0.09158178365019413,0.1905740212267477,0.035615496053261274,28.666666666666668,YPL046C,ELC1,1.0433,0.0643,0.9829,
LCL1,3,0.8446784680016162,0.07485625901384736,0.15965344412343807,0.17468525832370294,0.03490324050197909,25.0,YPL056C,LCL1,0.9802,0.0815,,
MMS2,3,0.9228885110666758,0.0652719361433023,0.13637651325510727,0.15536337374124298,0.029842249960080502,27.333333333333332,YGL087C,MMS2,0.996,0.094,0.9852,
SPH1,3,0.9241360918301018,0.12239429925544056,0.25761343337511405,0.18087706963085626,0.03460005105642827,27.333333333333332,YLR313C,SPH1,0.9843,0.0271,,
YEH1,3,0.8981467960439379,0.1372587435150296,0.2891705316836316,0.13733620493369103,0.0266548400813393,26.666666666666668,YLL012W,YEH1,0.9925,0.0804,,
YER079W,3,0.9208903885320021,0.13015231702659222,0.2759017299752323,0.2340248014621288,0.04807861846770842,24.0,YER079W,,1.0387,0.1173,,
YJR060W,3,0.6737205596682001,0.028591729798702142,0.061068243140341476,0.1486553107801518,0.02878147711802047,27.333333333333332,YJR060W,CBF1,0.59,0.1138,0.7523,
YKL033W-A,3,0.8677854715583784,0.1066170564014756,0.2244277240339313,0.152645991793957,0.030013680491373738,26.0,YKL033W-A,,1.0327,0.1008,,
YLR312C-B,3,0.9082743355718085,0.015370759273698303,0.03251381678153932,0.15391072120552413,0.03099391127137818,26.333333333333332,YLR312C-B,,1.0845,0.0441,,
YOS9,3,0.8418550899356189,0.011040191800751388,0.023528073118483265,0.15350438207720155,0.029651224288261394,27.333333333333332,YDR057W,YOS9,1.0435,0.0535,,
YPL081W,3,0.7131630054347161,0.010863285544896463,0.02326927761403474,0.17285926795891626,0.034950045242676246,26.0,YPL081W,RPS9A,0.955,0.1553,,
