id,pair,n_plates,fitness,boot_se,across_plate_sd,tier,costanzo_dmf
d1,YDR057W + YPL081W,3,0.6071,0.0479,0.1029,coverage,1.0351
d2,YPL046C + YPL081W,3,0.9335,0.004,0.0084,novel,
d3,YER079W + YPL081W,3,0.9496,0.0556,0.1195,validation,0.8625
d4,YLR312C-B + YPL081W,3,0.648,0.0454,0.0968,coverage,1.0165
d5,YDR057W + YGL087C,3,0.7884,0.0007,0.0015,validation,1.1372
d6,YDR057W + YER079W,3,0.9403,0.0472,0.0991,coverage,1.0963
d7,YDR057W + YLR312C-B,3,0.8895,0.0543,0.115,validation,1.1783
d8,YJR060W + YPL046C,3,0.5649,0.0435,0.093,coverage,0.9663
d9,YBR203W + YPL046C,3,0.8882,0.0232,0.0501,coverage,1.1179
d10,YDR057W + YLL012W,3,0.9315,0.0269,0.0572,coverage,0.9995
d11,YLL012W + YPL046C,3,0.9087,0.0348,0.0744,coverage,1.0251
d12,YER079W + YJR060W,3,0.6886,0.065,0.1365,validation,0.61
d13,YER079W + YLR312C-B,3,0.7728,0.0514,0.1084,coverage,1.0994
