id,orf,common,n_plates,fitness,boot_se,across_plate_sd,costanzo_smf,costanzo_se
s1,YJR060W,CBF1,3,0.5348,0.0506,0.1076,0.59,0.1138
s2,YPL081W,RPS9A,3,0.9007,0.0515,0.1105,0.955,0.1553
s3,YDR057W,YOS9,3,1.243,0.1282,0.269,1.0435,0.0535
s4,YPL046C,ELC1,3,1.2066,0.0495,0.1052,1.0433,0.0643
s5,YBR203W,COS111,3,1.1292,0.0679,0.1426,1.037,0.0458
s6,YGL087C,MMS2,3,1.1628,0.0329,0.0706,0.996,0.094
s7,YLR104W,LCL2,3,1.1748,0.0564,0.1187,1.0322,0.0453
s8,YLL012W,YEH1,3,1.2604,0.0659,0.1402,0.9925,0.0804
s9,YER079W,,3,1.3333,0.1504,0.3162,1.0387,0.1173
s10,YKL033W-A,,3,0.9251,0.0445,0.0954,1.0327,0.1008
s11,YLR313C,SPH1,3,1.0882,0.1471,0.3083,0.9843,0.0271
s12,YLR312C-B,,3,0.839,0.0661,0.1397,1.0845,0.0441
