strain,n_plates,fitness,boot_se,across_plate_sd
WT,3,1.0,0.0,0.0
YBR203W,3,1.1292114333215684,0.06787337746211032,0.14264494039405495
YBR203W+YPL046C,3,0.8881657384293477,0.023161433825744523,0.05005418098543318
YDR057W,3,1.2430360272605794,0.1282452503061471,0.2690317501118628
YDR057W+YER079W,3,0.9402785784548199,0.04718150926789144,0.09913788559712132
YDR057W+YGL087C,3,0.788446876577256,0.000718073176807171,0.001520668581779152
YDR057W+YLL012W,3,0.9315006893042349,0.026876325680569652,0.05719890692856956
YDR057W+YLR312C-B,3,0.8895057241610022,0.05432930651008927,0.11503030232551954
YDR057W+YPL081W,3,0.607103414710993,0.047943309526775675,0.10285825772072292
YER079W,3,1.3332539779403252,0.1503597814034669,0.31619078063128514
YER079W+YJR060W,3,0.6886121082975053,0.06503660963376086,0.13649965801082992
YER079W+YLR312C-B,3,0.7728060134695074,0.051364415956311804,0.10839910761278022
YER079W+YPL081W,3,0.9495877740760971,0.055624787233501796,0.11947732868245202
YGL087C,3,1.1627694705518532,0.03294856562134437,0.07055322637888238
YJR060W,3,0.5348195389209575,0.050561006125991105,0.1076404308473571
YJR060W+YPL046C,3,0.5649020599446263,0.04348110708851456,0.09295733145261169
YKL033W-A,3,0.9251088719307775,0.04453373567315381,0.09539710991695097
YLL012W,3,1.2603710145506115,0.0658699445910535,0.14018011964468238
YLL012W+YPL046C,3,0.908651773714568,0.03479927155722273,0.07436986696537401
YLR104W,3,1.1747862395298958,0.056400210455457435,0.11871428180065424
YLR312C-B,3,0.8390063424155216,0.06612268216023458,0.13973210422356983
YLR312C-B+YPL081W,3,0.6479938902428165,0.04535274210534769,0.09679238174167908
YLR313C,3,1.0882304035137613,0.14707286242485026,0.3082877523680051
YPL046C,3,1.2065659553088826,0.04947888043263274,0.10523031788271045
YPL046C+YPL081W,3,0.9335280108424567,0.004000943144523019,0.008438582131172838
YPL081W,3,0.9007112744379798,0.05150304833831736,0.11049476003725614
