reference,double,expected,eps,eps_se
WT wells (as shipped),YBR203W+YPL046C,1.3716131502378335,-0.48344741180848566,0.12185916674412306
WT wells (as shipped),YDR057W+YER079W,1.7123904131086853,-0.7721118346538657,0.37413373048495446
WT wells (as shipped),YDR057W+YGL087C,1.442007633232345,-0.6535607566550893,0.13765069537166624
WT wells (as shipped),YDR057W+YLL012W,1.5704391101337445,-0.6389384208295095,0.20792695112043288
WT wells (as shipped),YDR057W+YLR312C-B,1.0229671724415124,-0.13346144828051,0.06916715720685333
WT wells (as shipped),YDR057W+YPL081W,1.1394168994010183,-0.5323134846900254,0.22498403335773742
WT wells (as shipped),YER079W+YJR060W,0.7334780504916875,-0.04486594219418202,0.09564874659105226
WT wells (as shipped),YER079W+YLR312C-B,1.091617558906247,-0.31881154543673956,0.02054773603209847
WT wells (as shipped),YER079W+YPL081W,1.2237207687084357,-0.2741329946323388,0.15868382835919426
WT wells (as shipped),YJR060W+YPL046C,0.6528167776609234,-0.08791471771629716,0.08004859793823613
WT wells (as shipped),YLL012W+YPL046C,1.5192430126953669,-0.6105912389807989,0.08872033030963826
WT wells (as shipped),YLR312C-B+YPL081W,0.7472557628463727,-0.09926187260355623,0.08083286996371702
WT wells (as shipped),YPL046C+YPL081W,1.0940687831804932,-0.16054077233803632,0.10507149507141395
plate median,YBR203W+YPL046C,1.604466222909398,-0.6413186707631952,0.11954427812803257
plate median,YDR057W+YER079W,1.9886223858832637,-0.9676208516734753,0.4060449410859521
plate median,YDR057W+YGL087C,1.687263248807806,-0.8318836967353151,0.1384592982621228
plate median,YDR057W+YLL012W,1.8348194204113193,-0.824528484158826,0.21453679379842383
plate median,YDR057W+YLR312C-B,1.2013719543956158,-0.23526127212494727,0.06607733382595504
plate median,YDR057W+YPL081W,1.3275079040302693,-0.6671117347067946,0.23884279089428065
plate median,YER079W+YJR060W,0.852394032580361,-0.10709780130948361,0.10759791884008492
plate median,YER079W+YLR312C-B,1.281677910615001,-0.4450742671774181,0.031288690821517216
plate median,YER079W+YPL081W,1.4250172969382442,-0.39624355387441845,0.17085306857309174
plate median,YJR060W+YPL046C,0.7620006942890208,-0.14942800564225045,0.08386479502069386
plate median,YLL012W+YPL046C,1.7830577064788564,-0.7984369120759099,0.09075559254296373
plate median,YLR312C-B+YPL081W,0.8802218671778149,-0.17660812754330632,0.08955637215011504
plate median,YPL046C+YPL081W,1.279925247827143,-0.2670365565548824,0.10790091244620455
