strategy,rank,triple,built_parents,parent_routes,new_doubles_needed
rank,1,YKL033W-A + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YKL033W-A,2
rank,2,YER079W + YLL012W + YLR312C-B,1,(YER079W + YLR312C-B) x YLL012W,2
rank,3,YLR104W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YLR104W,2
rank,4,YBR203W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YBR203W,2
rank,5,YER079W + YLR104W + YLR312C-B,1,(YER079W + YLR312C-B) x YLR104W,2
rank,6,YGL087C + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YGL087C,2
rank,7,YER079W + YJR060W + YLR312C-B,2,(YER079W + YJR060W) x YLR312C-B;(YER079W + YLR312C-B) x YJR060W,1
rank,8,YER079W + YKL033W-A + YLR312C-B,1,(YER079W + YLR312C-B) x YKL033W-A,2
rank,9,YBR203W + YER079W + YLR312C-B,1,(YER079W + YLR312C-B) x YBR203W,2
rank,10,YER079W + YGL087C + YLR312C-B,1,(YER079W + YLR312C-B) x YGL087C,2
rank,11,YDR057W + YER079W + YLL012W,2,(YDR057W + YER079W) x YLL012W;(YDR057W + YLL012W) x YER079W,1
rank,12,YBR203W + YDR057W + YPL081W,1,(YDR057W + YPL081W) x YBR203W,2
rank,13,YDR057W + YKL033W-A + YPL081W,1,(YDR057W + YPL081W) x YKL033W-A,2
rank,14,YBR203W + YDR057W + YER079W,1,(YDR057W + YER079W) x YBR203W,2
rank,15,YDR057W + YER079W + YLR104W,1,(YDR057W + YER079W) x YLR104W,2
rank,16,YDR057W + YGL087C + YPL081W,2,(YDR057W + YGL087C) x YPL081W;(YDR057W + YPL081W) x YGL087C,1
rank,17,YDR057W + YER079W + YJR060W,2,(YDR057W + YER079W) x YJR060W;(YER079W + YJR060W) x YDR057W,1
rank,18,YER079W + YJR060W + YPL046C,2,(YER079W + YJR060W) x YPL046C;(YJR060W + YPL046C) x YER079W,1
rank,19,YBR203W + YER079W + YPL046C,1,(YBR203W + YPL046C) x YER079W,2
rank,20,YER079W + YLL012W + YPL046C,1,(YLL012W + YPL046C) x YER079W,2
count,2,YER079W + YLL012W + YLR312C-B,1,(YER079W + YLR312C-B) x YLL012W,2
count,4,YBR203W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YBR203W,2
count,7,YER079W + YJR060W + YLR312C-B,2,(YER079W + YJR060W) x YLR312C-B;(YER079W + YLR312C-B) x YJR060W,1
count,9,YBR203W + YER079W + YLR312C-B,1,(YER079W + YLR312C-B) x YBR203W,2
count,10,YER079W + YGL087C + YLR312C-B,1,(YER079W + YLR312C-B) x YGL087C,2
count,11,YDR057W + YER079W + YLL012W,2,(YDR057W + YER079W) x YLL012W;(YDR057W + YLL012W) x YER079W,1
count,12,YBR203W + YDR057W + YPL081W,1,(YDR057W + YPL081W) x YBR203W,2
count,14,YBR203W + YDR057W + YER079W,1,(YDR057W + YER079W) x YBR203W,2
count,17,YDR057W + YER079W + YJR060W,2,(YDR057W + YER079W) x YJR060W;(YER079W + YJR060W) x YDR057W,1
count,18,YER079W + YJR060W + YPL046C,2,(YER079W + YJR060W) x YPL046C;(YJR060W + YPL046C) x YER079W,1
count,19,YBR203W + YER079W + YPL046C,1,(YBR203W + YPL046C) x YER079W,2
count,20,YER079W + YLL012W + YPL046C,1,(YLL012W + YPL046C) x YER079W,2
count,22,YDR057W + YER079W + YGL087C,2,(YDR057W + YER079W) x YGL087C;(YDR057W + YGL087C) x YER079W,1
count,23,YDR057W + YLL012W + YLR312C-B,2,(YDR057W + YLL012W) x YLR312C-B;(YDR057W + YLR312C-B) x YLL012W,1
count,24,YBR203W + YLL012W + YPL046C,2,(YBR203W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YBR203W,1
count,31,YBR203W + YJR060W + YPL046C,2,(YBR203W + YPL046C) x YJR060W;(YJR060W + YPL046C) x YBR203W,1
count,35,YJR060W + YLR312C-B + YPL046C,1,(YJR060W + YPL046C) x YLR312C-B,2
count,36,YLL012W + YLR312C-B + YPL046C,1,(YLL012W + YPL046C) x YLR312C-B,2
count,38,YBR203W + YDR057W + YLL012W,1,(YDR057W + YLL012W) x YBR203W,2
count,39,YDR057W + YGL087C + YLL012W,2,(YDR057W + YGL087C) x YLL012W;(YDR057W + YLL012W) x YGL087C,1
balanced,2,YER079W + YLL012W + YLR312C-B,1,(YER079W + YLR312C-B) x YLL012W,2
balanced,4,YBR203W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YBR203W,2
balanced,6,YGL087C + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YGL087C,2
balanced,7,YER079W + YJR060W + YLR312C-B,2,(YER079W + YJR060W) x YLR312C-B;(YER079W + YLR312C-B) x YJR060W,1
balanced,9,YBR203W + YER079W + YLR312C-B,1,(YER079W + YLR312C-B) x YBR203W,2
balanced,10,YER079W + YGL087C + YLR312C-B,1,(YER079W + YLR312C-B) x YGL087C,2
balanced,11,YDR057W + YER079W + YLL012W,2,(YDR057W + YER079W) x YLL012W;(YDR057W + YLL012W) x YER079W,1
balanced,12,YBR203W + YDR057W + YPL081W,1,(YDR057W + YPL081W) x YBR203W,2
balanced,14,YBR203W + YDR057W + YER079W,1,(YDR057W + YER079W) x YBR203W,2
balanced,16,YDR057W + YGL087C + YPL081W,2,(YDR057W + YGL087C) x YPL081W;(YDR057W + YPL081W) x YGL087C,1
balanced,18,YER079W + YJR060W + YPL046C,2,(YER079W + YJR060W) x YPL046C;(YJR060W + YPL046C) x YER079W,1
balanced,19,YBR203W + YER079W + YPL046C,1,(YBR203W + YPL046C) x YER079W,2
balanced,20,YER079W + YLL012W + YPL046C,1,(YLL012W + YPL046C) x YER079W,2
balanced,21,YJR060W + YLL012W + YPL046C,2,(YJR060W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YJR060W,1
balanced,22,YDR057W + YER079W + YGL087C,2,(YDR057W + YER079W) x YGL087C;(YDR057W + YGL087C) x YER079W,1
balanced,23,YDR057W + YLL012W + YLR312C-B,2,(YDR057W + YLL012W) x YLR312C-B;(YDR057W + YLR312C-B) x YLL012W,1
balanced,24,YBR203W + YLL012W + YPL046C,2,(YBR203W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YBR203W,1
balanced,31,YBR203W + YJR060W + YPL046C,2,(YBR203W + YPL046C) x YJR060W;(YJR060W + YPL046C) x YBR203W,1
balanced,35,YJR060W + YLR312C-B + YPL046C,1,(YJR060W + YPL046C) x YLR312C-B,2
balanced,36,YLL012W + YLR312C-B + YPL046C,1,(YLL012W + YPL046C) x YLR312C-B,2
balanced,38,YBR203W + YDR057W + YLL012W,1,(YDR057W + YLL012W) x YBR203W,2
uniform,16,YDR057W + YGL087C + YPL081W,2,(YDR057W + YGL087C) x YPL081W;(YDR057W + YPL081W) x YGL087C,1
uniform,24,YBR203W + YLL012W + YPL046C,2,(YBR203W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YBR203W,1
uniform,6,YGL087C + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YGL087C,2
uniform,11,YDR057W + YER079W + YLL012W,2,(YDR057W + YER079W) x YLL012W;(YDR057W + YLL012W) x YER079W,1
uniform,28,YBR203W + YLR104W + YPL046C,1,(YBR203W + YPL046C) x YLR104W,2
uniform,29,YBR203W + YKL033W-A + YPL046C,1,(YBR203W + YPL046C) x YKL033W-A,2
uniform,2,YER079W + YLL012W + YLR312C-B,1,(YER079W + YLR312C-B) x YLL012W,2
uniform,33,YJR060W + YLR104W + YPL046C,1,(YJR060W + YPL046C) x YLR104W,2
uniform,23,YDR057W + YLL012W + YLR312C-B,2,(YDR057W + YLL012W) x YLR312C-B;(YDR057W + YLR312C-B) x YLL012W,1
uniform,1,YKL033W-A + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YKL033W-A,2
uniform,22,YDR057W + YER079W + YGL087C,2,(YDR057W + YER079W) x YGL087C;(YDR057W + YGL087C) x YER079W,1
uniform,13,YDR057W + YKL033W-A + YPL081W,1,(YDR057W + YPL081W) x YKL033W-A,2
uniform,31,YBR203W + YJR060W + YPL046C,2,(YBR203W + YPL046C) x YJR060W;(YJR060W + YPL046C) x YBR203W,1
uniform,10,YER079W + YGL087C + YLR312C-B,1,(YER079W + YLR312C-B) x YGL087C,2
uniform,21,YJR060W + YLL012W + YPL046C,2,(YJR060W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YJR060W,1
uniform,3,YLR104W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YLR104W,2
uniform,25,YDR057W + YKL033W-A + YLL012W,1,(YDR057W + YLL012W) x YKL033W-A,2
uniform,5,YER079W + YLR104W + YLR312C-B,1,(YER079W + YLR312C-B) x YLR104W,2
uniform,18,YER079W + YJR060W + YPL046C,2,(YER079W + YJR060W) x YPL046C;(YJR060W + YPL046C) x YER079W,1
uniform,15,YDR057W + YER079W + YLR104W,1,(YDR057W + YER079W) x YLR104W,2
capped,1,YKL033W-A + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YKL033W-A,2
capped,2,YER079W + YLL012W + YLR312C-B,1,(YER079W + YLR312C-B) x YLL012W,2
capped,3,YLR104W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YLR104W,2
capped,4,YBR203W + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YBR203W,2
capped,5,YER079W + YLR104W + YLR312C-B,1,(YER079W + YLR312C-B) x YLR104W,2
capped,6,YGL087C + YLR312C-B + YPL081W,1,(YLR312C-B + YPL081W) x YGL087C,2
capped,16,YDR057W + YGL087C + YPL081W,2,(YDR057W + YGL087C) x YPL081W;(YDR057W + YPL081W) x YGL087C,1
capped,12,YBR203W + YDR057W + YPL081W,1,(YDR057W + YPL081W) x YBR203W,2
capped,13,YDR057W + YKL033W-A + YPL081W,1,(YDR057W + YPL081W) x YKL033W-A,2
capped,21,YJR060W + YLL012W + YPL046C,2,(YJR060W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YJR060W,1
capped,24,YBR203W + YLL012W + YPL046C,2,(YBR203W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YBR203W,1
capped,38,YBR203W + YDR057W + YLL012W,1,(YDR057W + YLL012W) x YBR203W,2
capped,25,YDR057W + YKL033W-A + YLL012W,1,(YDR057W + YLL012W) x YKL033W-A,2
capped,31,YBR203W + YJR060W + YPL046C,2,(YBR203W + YPL046C) x YJR060W;(YJR060W + YPL046C) x YBR203W,1
capped,39,YDR057W + YGL087C + YLL012W,2,(YDR057W + YGL087C) x YLL012W;(YDR057W + YLL012W) x YGL087C,1
capped,27,YGL087C + YLL012W + YPL046C,1,(YLL012W + YPL046C) x YGL087C,2
capped,34,YBR203W + YGL087C + YPL046C,1,(YBR203W + YPL046C) x YGL087C,2
capped,28,YBR203W + YLR104W + YPL046C,1,(YBR203W + YPL046C) x YLR104W,2
