rank,gene1,gene2,gene3,prediction,genes_not_built,n_doubles_missing,missing_doubles,computable_now
1,YIL174W,YLL012W,YPL081W,0.73095703,YIL174W,3,YIL174W+YLL012W;YIL174W+YPL081W;YLL012W+YPL081W,False
2,YIL174W,YKL033W-A,YPL081W,0.7114258,YIL174W,3,YIL174W+YKL033W-A;YIL174W+YPL081W;YKL033W-A+YPL081W,False
3,YKL033W-A,YLR312C-B,YPL081W,0.7114258,,2,YKL033W-A+YLR312C-B;YKL033W-A+YPL081W,False
4,YER079W,YIL174W,YLL012W,0.7109375,YIL174W,3,YER079W+YIL174W;YER079W+YLL012W;YIL174W+YLL012W,False
5,YER079W,YLL012W,YLR312C-B,0.7109375,,2,YER079W+YLL012W;YLL012W+YLR312C-B,False
6,YIL174W,YLR104W,YPL081W,0.7011719,YIL174W,3,YIL174W+YLR104W;YIL174W+YPL081W;YLR104W+YPL081W,False
7,YLR104W,YLR312C-B,YPL081W,0.7011719,,2,YLR104W+YLR312C-B;YLR104W+YPL081W,False
8,YBR203W,YLR312C-B,YPL081W,0.69873047,,2,YBR203W+YLR312C-B;YBR203W+YPL081W,False
9,YER079W,YIL174W,YLR104W,0.68408203,YIL174W,3,YER079W+YIL174W;YER079W+YLR104W;YIL174W+YLR104W,False
10,YER079W,YLR104W,YLR312C-B,0.68408203,,2,YER079W+YLR104W;YLR104W+YLR312C-B,False
11,YGL087C,YLR312C-B,YPL081W,0.68310547,,2,YGL087C+YLR312C-B;YGL087C+YPL081W,False
12,YIL174W,YJR060W,YPL081W,0.6699219,YIL174W,3,YIL174W+YJR060W;YIL174W+YPL081W;YJR060W+YPL081W,False
13,YER079W,YJR060W,YLR312C-B,0.65771484,,1,YJR060W+YLR312C-B,False
14,YER079W,YIL174W,YJR060W,0.65771484,YIL174W,2,YER079W+YIL174W;YIL174W+YJR060W,False
15,YER079W,YIL174W,YKL033W-A,0.65625,YIL174W,3,YER079W+YIL174W;YER079W+YKL033W-A;YIL174W+YKL033W-A,False
16,YER079W,YKL033W-A,YLR312C-B,0.65625,,2,YER079W+YKL033W-A;YKL033W-A+YLR312C-B,False
17,YBR203W,YER079W,YLR312C-B,0.65478516,,2,YBR203W+YER079W;YBR203W+YLR312C-B,False
18,YBR203W,YER079W,YIL174W,0.65478516,YIL174W,3,YBR203W+YER079W;YBR203W+YIL174W;YER079W+YIL174W,False
19,YER079W,YGL087C,YIL174W,0.64208984,YIL174W,3,YER079W+YGL087C;YER079W+YIL174W;YGL087C+YIL174W,False
20,YER079W,YGL087C,YLR312C-B,0.64208984,,2,YER079W+YGL087C;YGL087C+YLR312C-B,False
21,YDR057W,YER079W,YLL012W,0.57470703,,1,YER079W+YLL012W,False
22,YBR203W,YDR057W,YPL081W,0.5678711,,2,YBR203W+YDR057W;YBR203W+YPL081W,False
23,YDR057W,YKL033W-A,YPL081W,0.5415039,,2,YDR057W+YKL033W-A;YKL033W-A+YPL081W,False
24,YBR203W,YDR057W,YER079W,0.5332031,,2,YBR203W+YDR057W;YBR203W+YER079W,False
25,YDR057W,YER079W,YLR104W,0.53222656,,2,YDR057W+YLR104W;YER079W+YLR104W,False
26,YDR057W,YGL087C,YPL081W,0.51953125,,1,YGL087C+YPL081W,False
27,YDR057W,YER079W,YJR060W,0.5083008,,1,YDR057W+YJR060W,False
28,YER079W,YJR060W,YPL046C,0.49145508,,1,YER079W+YPL046C,False
29,YBR203W,YER079W,YPL046C,0.47583008,,2,YBR203W+YER079W;YER079W+YPL046C,False
30,YER079W,YLL012W,YPL046C,0.46557617,,2,YER079W+YLL012W;YER079W+YPL046C,False
31,YJR060W,YLL012W,YPL046C,0.46435547,,1,YJR060W+YLL012W,False
32,YDR057W,YER079W,YGL087C,0.46166992,,1,YER079W+YGL087C,False
