double,gene1,gene2,triples_completed,best_rank_unlocked,best_prediction,triples
YJR060W+YLR312C-B,YJR060W,YLR312C-B,1,13,0.65771484,YER079W+YJR060W+YLR312C-B
YER079W+YLL012W,YER079W,YLL012W,1,21,0.57470703,YDR057W+YER079W+YLL012W
YGL087C+YPL081W,YGL087C,YPL081W,1,26,0.51953125,YDR057W+YGL087C+YPL081W
YDR057W+YJR060W,YDR057W,YJR060W,1,27,0.5083008,YDR057W+YER079W+YJR060W
YER079W+YPL046C,YER079W,YPL046C,1,28,0.49145508,YER079W+YJR060W+YPL046C
YJR060W+YLL012W,YJR060W,YLL012W,1,31,0.46435547,YJR060W+YLL012W+YPL046C
YER079W+YGL087C,YER079W,YGL087C,1,32,0.46166992,YDR057W+YER079W+YGL087C
YLL012W+YLR312C-B,YLL012W,YLR312C-B,1,34,0.45532227,YDR057W+YLL012W+YLR312C-B
YBR203W+YLL012W,YBR203W,YLL012W,1,35,0.45288086,YBR203W+YLL012W+YPL046C
YBR203W+YJR060W,YBR203W,YJR060W,1,42,0.43310547,YBR203W+YJR060W+YPL046C
YGL087C+YLL012W,YGL087C,YLL012W,1,52,0.4091797,YDR057W+YGL087C+YLL012W
YDR057W+YPL046C,YDR057W,YPL046C,1,72,0.36938477,YDR057W+YLL012W+YPL046C
YGL087C+YLR312C-B,YGL087C,YLR312C-B,1,85,0.32299805,YDR057W+YGL087C+YLR312C-B
