strategy,gene,count
rank,YBR203W,5
rank,YDR057W,7
rank,YER079W,13
rank,YGL087C,3
rank,YJR060W,3
rank,YKL033W-A,3
rank,YLL012W,3
rank,YLR104W,3
rank,YLR312C-B,10
rank,YPL046C,3
rank,YPL081W,7
count,YBR203W,8
count,YDR057W,8
count,YER079W,11
count,YGL087C,3
count,YJR060W,5
count,YKL033W-A,0
count,YLL012W,8
count,YLR104W,0
count,YLR312C-B,8
count,YPL046C,7
count,YPL081W,2
balanced,YBR203W,8
balanced,YDR057W,7
balanced,YER079W,10
balanced,YGL087C,4
balanced,YJR060W,5
balanced,YKL033W-A,0
balanced,YLL012W,8
balanced,YLR104W,0
balanced,YLR312C-B,9
balanced,YPL046C,8
balanced,YPL081W,4
uniform,YBR203W,4
uniform,YDR057W,7
uniform,YER079W,7
uniform,YGL087C,4
uniform,YJR060W,4
uniform,YKL033W-A,4
uniform,YLL012W,6
uniform,YLR104W,5
uniform,YLR312C-B,7
uniform,YPL046C,7
uniform,YPL081W,5
capped,YBR203W,8
capped,YDR057W,6
capped,YER079W,2
capped,YGL087C,5
capped,YJR060W,3
capped,YKL033W-A,4
capped,YLL012W,7
capped,YLR104W,4
capped,YLR312C-B,6
capped,YPL046C,8
capped,YPL081W,7
no_ylr,YBR203W,9
no_ylr,YDR057W,9
no_ylr,YER079W,9
no_ylr,YGL087C,5
no_ylr,YJR060W,4
no_ylr,YKL033W-A,1
no_ylr,YLL012W,7
no_ylr,YLR104W,3
no_ylr,YLR312C-B,0
no_ylr,YPL046C,11
no_ylr,YPL081W,2
