double,targets_touched,closes_alone,targets_1_away_after,best_target_rank,best_prediction,closed_triples
YER079W + YLL012W,3,1,12,2,0.7109375,YDR057W+YER079W+YLL012W
YLL012W + YLR312C-B,3,1,12,2,0.7109375,YDR057W+YLL012W+YLR312C-B
YER079W + YPL046C,3,1,12,15,0.491455078125,YER079W+YJR060W+YPL046C
YGL087C + YPL081W,2,1,11,4,0.68310546875,YDR057W+YGL087C+YPL081W
YJR060W + YLR312C-B,2,1,11,5,0.65771484375,YER079W+YJR060W+YLR312C-B
YER079W + YGL087C,2,1,11,8,0.64208984375,YDR057W+YER079W+YGL087C
YBR203W + YLL012W,2,1,11,21,0.452880859375,YBR203W+YLL012W+YPL046C
YGL087C + YLL012W,2,1,11,23,0.443603515625,YDR057W+YGL087C+YLL012W
YDR057W + YJR060W,1,1,10,14,0.50830078125,YDR057W+YER079W+YJR060W
YJR060W + YLL012W,1,1,10,18,0.46435546875,YJR060W+YLL012W+YPL046C
YBR203W + YJR060W,1,1,10,26,0.43310546875,YBR203W+YJR060W+YPL046C
YBR203W + YER079W,3,0,14,7,0.65478515625,
YBR203W + YDR057W,3,0,14,10,0.56787109375,
YDR057W + YKL033W-A,3,0,14,11,0.54150390625,
YKL033W-A + YLR312C-B,2,0,13,1,0.71142578125,
YKL033W-A + YPL081W,2,0,13,1,0.71142578125,
YBR203W + YLR312C-B,2,0,13,3,0.69873046875,
YBR203W + YPL081W,2,0,13,3,0.69873046875,
YGL087C + YLR312C-B,2,0,13,4,0.68310546875,
YER079W + YKL033W-A,2,0,13,6,0.65625,
YGL087C + YPL046C,2,0,13,23,0.443603515625,
YLR312C-B + YPL046C,2,0,13,28,0.42041015625,
YKL033W-A + YLL012W,1,0,12,22,0.44921875,
YBR203W + YKL033W-A,1,0,12,24,0.43701171875,
YKL033W-A + YPL046C,1,0,12,24,0.43701171875,
YBR203W + YGL087C,1,0,12,27,0.42041015625,
