run_id,cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
0e3k57i2,True,100000,sum,['one_hot_gene'],,100,2,10087608.0,0.7223254942401562,0.7312313235386454,0.859638374836378,0.8644824898885367,0.8747545141329586,0.8752480187703022,0.04743928767522753,0.047338239843440856,0.005972781266725239,0.005718972074281458,0.07728377104363657,0.07562388560687329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2z2ikr0f,True,100000,sum,['one_hot_gene'],,200,2,20175908.0,0.7231678467898979,0.7315795606185325,0.8600086737557459,0.8646359186271415,0.8746892736127266,0.87513503365823,0.04737000258927104,0.047324867335394045,0.005954662255347844,0.0057115621403511915,0.07716645809772432,0.07557487770649181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6s3kxpmi,True,100000,sum,['one_hot_gene'],,500,2,50431278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g9ltcdwg,True,100000,sum,['one_hot_gene'],,100,5,9365030.0,0.7337704909074902,0.7407753648173815,0.8648341116654247,0.8687134443513279,0.8811708281699734,0.8820652112923933,0.0462346388927959,0.046249773691370656,0.00572659927927441,0.005515889980536322,0.07567429734906304,0.0742690378323048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qlektdji,True,100000,sum,['one_hot_gene'],,200,5,18727324.0,0.733373046878121,0.7406022550139695,0.864728745057367,0.8686751028981634,0.8815284518312567,0.8824307866939638,0.04625506026875566,0.04625018182124553,0.0057351483041360625,0.005519573483184519,0.07573076194081281,0.07429383206689852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc965qd1,True,100000,sum,['one_hot_gene'],,500,5,46846800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1xryj2q9,True,100000,sum,['one_hot_gene'],5.0,200,2,6630.0,0.0735694168060601,0.0642379511168043,0.27143154324939006,0.25388163038144324,0.20500497714844088,0.1982862057044792,0.10698881470178824,0.10718215175424556,0.019927530678699845,0.01991153543707273,0.14116490597418271,0.1411082401458991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56bdn7ke,True,100000,sum,['one_hot_gene'],,500,10,42024800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6hgdzmht,True,100000,sum,['one_hot_gene'],,100,10,8404868.0,0.7361481379636352,0.743002583016696,0.8657267956623467,0.869451808879209,0.8828196445071055,0.8838983750112609,0.04589903067934557,0.04595004580354291,0.005675456068424114,0.005468498302112654,0.07533562283823048,0.07394929548084048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g3rom7fg,True,100000,sum,['one_hot_gene'],,200,10,16802332.0,0.7364302703354407,0.7426551609976106,0.8659480714168488,0.8693660797228477,0.883114363283686,0.8839475136025597,0.045864976587183574,0.04594459708129874,0.005669387398416239,0.005475890892838999,0.07529533450630417,0.07399926278578049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
