cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,svr.kernel,svr.C,svr.gamma,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,val_r2_mean,val_r2_std,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,val_pearson_mean,val_pearson_std,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,val_spearman_mean,val_spearman_std,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,val_mse_mean,val_mse_std,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,val_mae_mean,val_mae_std,val_rmse,test_rmse,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,val_rmse_mean,val_rmse_std
True,100000,sum,['random_1000'],poly,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],rbf,1.0,0.01,17176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],sigmoid,1.0,0.1,34612.0,-0.006025630155165773,-0.005568306812159918,NaN,NaN,NaN,NaN,0.10979231050074811,0.10932090708794688,0.02163962089783323,0.021396902128467055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1471041158426005,0.14627679969314017,,,,,,,,,,,,
True,100000,sum,['random_1000'],poly,0.1,0.001,12366.0,0.6797268880963356,0.6740219896607211,0.8390755784792359,0.8384658177929445,0.8503995191991748,0.8479655331413272,0.06127369946409608,0.06184645791933521,0.0068890776910879165,0.006936296158113589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08300046801728239,0.08328442926570122,,,,,,,,,,,,
True,100000,sum,['random_1000'],rbf,1.0,0.1,44033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],sigmoid,0.1,0.001,77902.0,-89595.56942479388,-86554.31240412472,-0.1893103188496041,-0.17651578736766807,-0.150034377134318,-0.12943708482251146,19.880777748831683,19.130388635615137,1927.22306269662,1841.7600631042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90014877761373,42.91573211660498,,,,,,,,,,,,
True,100000,sum,['random_1000'],rbf,0.1,0.001,13218.0,0.6675074547183965,0.6633397179368286,0.8399316337553873,0.838790605494229,0.8211115861667799,0.8223985595944517,0.0634800429271901,0.06371055250767933,0.007151917819568689,0.007163597994336354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08456901217094054,0.0846380410591854,,,,,,,,,,,,
True,100000,sum,['random_1000'],linear,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],poly,1.0,0.1,11952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],sigmoid,0.1,0.01,35564.0,-0.9965077058387606,-1.0170444195507873,0.052647047265715695,0.0688717756123673,0.1544462057177967,0.1333241254189835,0.1248988660666044,0.1246923103393099,0.04294489979076373,0.04291951301719064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20723151254276875,0.20717025128427738,,,,,,,,,,,,
True,100000,sum,['random_1000'],linear,0.1,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],rbf,0.1,0.1,39464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],poly,0.1,0.1,11952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],linear,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],sigmoid,0.1,0.1,34612.0,-0.0060256301551673275,-0.005568306812161694,NaN,NaN,NaN,NaN,0.10979231050074784,0.10932090708794664,0.021639620897833264,0.021396902128467093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14710411584260064,0.1462767996931403,,,,,,,,,,,,
True,100000,sum,['random_1000'],poly,0.1,0.01,11967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['random_1000'],rbf,0.1,0.01,16122.0,0.6213688509943434,0.6209147409362459,0.8433206300099344,0.8472011151133877,0.8493353459807931,0.8542922024624094,0.07011386551073137,0.07048406865724709,0.008144359625638652,0.008066334361954895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09024610587520468,0.08981277393530886,,,,,,,,,,,,
True,100000,sum,['random_1000'],linear,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],sigmoid,1.0,0.01,10732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],linear,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],poly,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],rbf,1.0,0.01,7979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],poly,0.1,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],linear,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],rbf,1.0,0.1,5950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],sigmoid,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],poly,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],linear,0.1,0.001,6970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],rbf,0.1,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],sigmoid,0.1,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],poly,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],rbf,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],poly,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],rbf,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],linear,0.1,0.1,7006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],linear,0.1,0.01,7006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],sigmoid,0.1,0.1,10927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,100000,sum,['one_hot_gene'],sigmoid,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,100000,mean,['esm2_t33_650M_UR50D_no_dubious'],rbf,10.0,0.1,34610.0,-0.0051725050689532814,-0.004814090037951857,0.23200784025273613,0.1970509185431853,0.22893047494315472,0.197162931045335,0.10978540105107,0.10931674585423531,0.021621270169093623,0.02138085358915645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14704172934610646,0.1462219326542925,,,,,,,,,,,,
False,100000,mean,['normalized_chrom_pathways'],rbf,10.0,0.1,34606.0,-0.006053815865658452,-0.005593674834247109,0.13819366076160192,0.1364935794901451,0.14245139888493374,0.13890331003049053,0.10977242266661782,0.1093024017712528,0.0216402271727347,0.02139744191982893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1471061765281618,0.1462786447839497,,,,,,,,,,,,
False,100000,mean,['esm2_t33_650M_UR50D_all'],rbf,10.0,0.1,34590.0,-0.005139289450537543,-0.004780659676787646,0.15350864580752602,0.13063488303653528,0.1620068493972271,0.13821764117705174,0.10977692524868768,0.10930892648371364,0.02162055570082477,0.021380142243978696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1470392998515185,0.14621950021792132,,,,,,,,,,,,
False,100000,mean,['nt_window_five_prime_1003'],rbf,10.0,0.1,34528.0,-0.001919172803241498,-0.001191726132353299,0.12620056004575816,0.1343011960425768,0.12747140025832696,0.1315055749454679,0.10954933257109987,0.10907002125140736,0.02155129096103524,0.02130377541809963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14680357952391773,0.14595812898944557,,,,,,,,,,,,
False,100000,mean,['nt_window_three_prime_300'],rbf,10.0,0.1,34560.0,-0.0033039298531363226,-0.0032397376967652214,0.15201767410087275,0.1290866097513212,0.14344363879987151,0.12760170866526674,0.10965165344067664,0.1092025995537941,0.021581077098383156,0.021347353862949992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1469049934426436,0.14610733678686363,,,,,,,,,,,,
False,100000,mean,['prot_T5_no_dubious'],rbf,10.0,0.1,34596.0,-0.005898054399218644,-0.005471261969901775,0.23353841045821225,0.1914776669885227,0.23497768190436563,0.20653161131029596,0.1097671067080523,0.1092983982123316,0.02163687674210628,0.02139483716780969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1470947882900896,0.14626974112170188,,,,,,,,,,,,
