dataset,model,size,embedding,is_pert,aggregation,num_params,test_spearman,val_spearman,cv_spearman_mean,cv_spearman_std,test_pearson,val_pearson,cv_pearson_mean,cv_pearson_std,test_r2,val_r2,cv_r2_mean,cv_r2_std,test_mse,val_mse,cv_mse_mean,cv_mse_std
fitness,random_forest,1e3,calm,True,sum,92542.0,0.434603778702856,0.3830116863990207,0.3558901619753481,0.0665364758106137,0.4931377402270371,0.457037249854525,0.3724771404224228,0.051241236980637,0.203785572391923,0.187427372369416,0.1318301167240891,0.0322505304991333,0.0186033948712734,0.0199890422782666,0.017667996713797,0.0027682891210694
fitness,random_forest,1e3,codon_frequency,True,sum,201416.0,0.3842527382069564,0.4601686972820993,0.3215920310888683,0.0553354044835268,0.489544477074011,0.4498750516365719,0.3490778145826164,0.0377077052354193,0.2046563978142096,0.1824464002453172,0.1128684145262617,0.0318255617198181,0.0185830482050576,0.0201115726946133,0.0180171512584526,0.0025482990781994
fitness,random_forest,1e3,esm2_t33_650M_UR50D_all,False,mean,91368.0,0.4273440911103618,0.4614948134830314,0.3740053439219549,0.0485844545100522,0.4799921182627317,0.4733969924591346,0.3974920626042377,0.0616611240924989,0.1975898686240891,0.1935835897545582,0.1444346974864204,0.0436592687696557,0.0187481562818958,0.0198376011819247,0.0173656365885129,0.0024404186805105
fitness,random_forest,1e3,esm2_t33_650M_UR50D_no_dubious,False,mean,36374.0,0.3990741427547188,0.4648483573373116,0.3774548347985108,0.0606837817443286,0.4584913869227213,0.4477572563973589,0.3943197440725611,0.0688918291432105,0.1791673778688781,0.1746270023513557,0.141556107578748,0.0473567411101419,0.0191785941867466,0.0203039275313111,0.0174380031874677,0.0026016424221548
fitness,random_forest,1e3,fudt_downstream,False,sum,201664.0,0.2316729955765092,0.1991533258101741,0.1574814612668395,0.1097270285977349,0.2250339803190038,0.2857243707585867,0.1737958299951557,0.0909323277684925,0.0504361854789805,0.0783687251925702,0.0071700456304793,0.0601070183716429,0.0221863733995317,0.0226718522020825,0.0200526533599413,0.001815884986976
fitness,random_forest,1e3,fudt_upstream,False,mean,73994.0,0.295906403874092,0.3944621897493767,0.2792116305638794,0.1138787528062544,0.3174138882389649,0.4730686967934085,0.2900079427571871,0.1029007154162154,0.0997480174137495,0.1928642914454058,0.0665548366353669,0.0795242292702685,0.0210342120601997,0.0198552957040184,0.0187976676347528,0.0012398281216442
fitness,random_forest,1e3,normalized_chrom_pathways,True,mean,201418.0,0.208438700414752,0.2270910238509649,0.2163574791963328,0.0531592698502535,0.2500530433442122,0.2671661190482529,0.2311203835487572,0.0658375925314862,0.0599377340729955,0.062460247278657,0.0317648570047238,0.0435716388024127,0.0219643715690523,0.0230631959746772,0.0196518983933066,0.0027719256331127
fitness,random_forest,1e3,nt_window_5979,True,sum,10376.0,0.3301949737133763,0.4619921070583809,0.288789733082385,0.0378740078799603,0.4064831429192192,0.4262062724025781,0.2731395882059842,0.073385728773376,0.14498703392425,0.1650092945023322,0.0595683647823766,0.0596437812726266,0.0199772112592205,0.0205405202521054,0.0190357707923306,0.0022668584480544
fitness,random_forest,1e3,nt_window_five_prime_1003,False,mean,36238.0,0.3481629750769475,0.3897697785768477,0.2399853690520734,0.0608720823645779,0.3885384100552975,0.3931577473601647,0.2681641482931414,0.0639678111271781,0.1271386213220633,0.1457549332886301,0.0615452543242309,0.0343254869217039,0.020394235939948,0.0210141717476819,0.0190266469336987,0.002326693993031
fitness,random_forest,1e3,nt_window_three_prime_300,True,sum,100562.0,0.3665373432195235,0.3661929626583528,0.2277570483551416,0.0664621769578322,0.3284369533084281,0.4328845307597934,0.2173645753251123,0.069330039239656,0.0972342069521591,0.1450253756846992,0.0339456809660651,0.043448418071265,0.0210929467515428,0.0210321186453419,0.0196135317181202,0.0027318937643517
fitness,random_forest,1e3,one_hot_gene,False,sum,68666.0,0.5611425062118014,0.6524170206362815,0.5005041601611049,0.0643562664604684,0.5890189921207323,0.6517861682304507,0.5373156880988412,0.0899805302778869,0.2621000356105186,0.3930517829187195,0.2136908063296671,0.1277758814303172,0.0172408888071458,0.0149307436152918,0.0161327761222796,0.0043118083694661
fitness,random_forest,1e3,prot_T5_all,False,sum,37146.0,0.4138241585440073,0.478096768229316,0.3050384760474954,0.0503297024137721,0.4804103444922768,0.5119873626846868,0.3239447705071828,0.0680831030055356,0.1873347751792104,0.229464635095004,0.0926961590716357,0.0499421917350185,0.0189877645409047,0.018954938256901,0.0183896219364982,0.0023514927089179
fitness,random_forest,1e3,prot_T5_no_dubious,True,sum,201346.0,0.4212705551971254,0.492837059847369,0.3126385736761873,0.0516890160590455,0.5101949992114608,0.5069868946837366,0.3442483618860115,0.0743429596921404,0.1970222085603983,0.2213069522930054,0.1073134969448939,0.0498568680974262,0.0187614195486131,0.0191556148006056,0.0180967192592323,0.0023416530281491
fitness,random_forest,1e3,random_1,False,sum,21134.0,0.0125428689913913,0.324419097694011,0.0074697984053615,0.0440609621861451,-0.0599866684959914,0.3059370808784272,0.0046200651449468,0.0555853107278579,-0.0947266161781332,0.0925713891473911,-0.1146131166577754,0.0562929452287727,0.0255780739593424,0.0223224709398995,0.0226049456238082,0.002983236793814
fitness,random_forest,1e3,random_10,True,sum,4028.0,0.1380109444588231,0.2005176953630561,0.078753282202255,0.0578691731980996,0.2272016555170283,0.2073940451186308,0.062327602825231,0.0794047129371988,0.0461888137838004,0.039796252974056,-0.0253624104964461,0.0418088495490026,0.0222856124111229,0.0236207234189255,0.0208041185629558,0.002730019333626
