unit_id,reaction_id,gene_id,uniprot,sequence_length,substrate_met_id,substrate_name,smiles,smiles_source
0,r_0001,YDL174C,P32891,587,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
0,r_0001,YDL174C,P32891,587,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
0,r_0001,YEL039C,P00045,113,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
0,r_0001,YEL039C,P00045,113,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
1,r_0001,YDL174C,P32891,587,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
1,r_0001,YDL174C,P32891,587,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
1,r_0001,YJR048W,P00044,109,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
1,r_0001,YJR048W,P00044,109,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
2,r_0001,YEL039C,P00045,113,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
2,r_0001,YEL039C,P00045,113,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
2,r_0001,YEL071W,P39976,496,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
2,r_0001,YEL071W,P39976,496,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
3,r_0001,YEL071W,P39976,496,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
3,r_0001,YEL071W,P39976,496,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
3,r_0001,YJR048W,P00044,109,s_0025,(R)-lactate,CC(C(=O)O)O,smilesDB
3,r_0001,YJR048W,P00044,109,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
4,r_0002,YDL178W,P46681,530,s_0027,(R)-lactate,CC(C(=O)O)O,smilesDB
4,r_0002,YDL178W,P46681,530,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
4,r_0002,YEL039C,P00045,113,s_0027,(R)-lactate,CC(C(=O)O)O,smilesDB
4,r_0002,YEL039C,P00045,113,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
5,r_0002,YDL178W,P46681,530,s_0027,(R)-lactate,CC(C(=O)O)O,smilesDB
5,r_0002,YDL178W,P46681,530,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
5,r_0002,YJR048W,P00044,109,s_0027,(R)-lactate,CC(C(=O)O)O,smilesDB
5,r_0002,YJR048W,P00044,109,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
6,r_0003,YAL060W,P39714,382,s_0035,"(R,R)-2,3-butanediol",CC(C(C)O)O,smilesDB
6,r_0003,YAL060W,P39714,382,s_1198,NAD,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,smilesDB
7,r_0004,YEL039C,P00045,113,s_0063,(S)-lactate,CC(C(=O)O)O,smilesDB
7,r_0004,YEL039C,P00045,113,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
7,r_0004,YML054C,P00175,591,s_0063,(S)-lactate,CC(C(=O)O)O,smilesDB
7,r_0004,YML054C,P00175,591,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
8,r_0004,YJR048W,P00044,109,s_0063,(S)-lactate,CC(C(=O)O)O,smilesDB
8,r_0004,YJR048W,P00044,109,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
8,r_0004,YML054C,P00175,591,s_0063,(S)-lactate,CC(C(=O)O)O,smilesDB
8,r_0004,YML054C,P00175,591,s_0709,ferricytochrome c,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C(C)SCC(C(=O)NC)N)C)C(C)SCC(C(=O)NC)N)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],smilesDB
9,r_0005,YPR165W,P06780,209,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
9,r_0005,YLR342W,P38631,1876,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
10,r_0005,YPR165W,P06780,209,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
10,r_0005,YGR032W,P40989,1895,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
11,r_0005,YPR165W,P06780,209,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
11,r_0005,YMR306W,Q04952,1785,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
12,r_0006,YGR143W,P33336,771,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
13,r_0006,YPR159W,P32486,720,s_1543,UDP-D-glucose,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,smilesDB
14,r_0007,YIL020C,P40545,261,s_0077,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide,NC(=O)C1=C(/N=C/N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)N([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C=N1,metanetx
15,r_0012,YHR037W,P07275,575,s_0119,1-pyrroline-5-carboxylate,C1CC(N=C1)C(=O)O,smilesDB
15,r_0012,YHR037W,P07275,575,s_0807,H2O,O,smilesDB
15,r_0012,YHR037W,P07275,575,s_1200,NAD,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,smilesDB
16,r_0013,YEL038W,P32626,227,s_0311,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",CSCCC(=O)C(=O)COP(=O)(O)O,smilesDB
16,r_0013,YEL038W,P32626,227,s_0803,H2O,O,smilesDB
16,r_0013,YMR009W,Q03677,179,s_0311,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",CSCCC(=O)C(=O)COP(=O)(O)O,smilesDB
16,r_0013,YMR009W,Q03677,179,s_0803,H2O,O,smilesDB
17,r_0014,YOL066C,Q12362,591,s_0142,"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone",C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=N1)N)N,smilesDB
17,r_0014,YOL066C,Q12362,591,s_0794,H+,[H+],smilesDB
17,r_0014,YOL066C,Q12362,591,s_0803,H2O,O,smilesDB
18,r_0015,YBR153W,P33312,244,s_0141,"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine",C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)O,smilesDB
18,r_0015,YBR153W,P33312,244,s_0794,H+,[H+],smilesDB
